names,logfoldchanges,pvals_adj
CBLN2,4.4030366,1.4148769142693048e-73
SLC1A6,4.266962,1.2809986324273435e-50
PDZRN3,3.5385199,5.509013607837897e-39
RP11-277P12.20,3.1926563,1.367728044337738e-35
PARM1,3.0909722,3.0257839967015735e-35
CTA-392E5.1,4.947858,2.527421429024859e-32
CLDN8,3.0892198,4.265722777342827e-32
CPE,3.4263084,1.207159770961986e-31
SMOC1,5.216306,4.849779670264775e-31
GJB6,4.153965,1.3482180545190061e-30
SDC2,2.984374,1.4644348828529955e-30
TRAPPC8,3.0693696,1.039871366054819e-29
TM4SF1,3.50353,9.433827660981876e-29
KRT16,5.689332,2.1601813226967227e-28
RAI14,3.605263,3.3012305984874475e-28
LYPD6B,2.6219478,6.983839556241869e-28
BTC,3.8864777,8.104642761019931e-28
KRT6C,4.059952,2.588280409277046e-27
POMC,2.9808745,1.290316693627806e-26
ID4,2.7929041,1.7381940318819427e-26
FBLIM1,2.7950568,4.955800944298729e-26
C10orf35,3.1634352,2.7847227386696567e-25
SPP1,4.341835,3.7874938474971712e-25
S100A2,4.215278,6.033406024956021e-25
SMCO4,2.8274043,1.2844861617652505e-24
TIMP3,2.92647,2.7094892308990724e-24
PDGFC,3.7806027,2.2592073073022987e-23
CTSV,2.5919013,3.14749154150978e-23
CAP1,2.8981285,3.5885461263200134e-23
CA2,2.8414202,3.904441658935072e-23
SDC1,2.8344395,7.370472502458036e-23
LAYN,3.7428458,8.193413768760555e-23
FABP5,4.1314106,1.7076853745662109e-22
GJA1,2.876024,1.9694510787099425e-22
EPHB3,2.641184,2.9253772405069827e-22
VTCN1,3.2467241,1.3344863272604347e-21
SHISA2,2.0052445,3.3552560238589493e-21
MGP,3.8341594,4.1241483793789804e-21
SQLE,2.6827583,6.565776435409309e-21
ANXA2,1.7873946,1.0126099451534267e-20
GJB2,3.0297344,1.2545063417016984e-20
S100A16,2.4118066,1.3218923729032479e-20
DSC2,2.5946147,2.5470498586226705e-20
PHGDH,2.3352432,2.7155978782597844e-20
ACTN1,2.5915978,4.661410189657613e-20
RERG,3.089579,4.8543700485276793e-20
MLLT11,2.5110793,7.215935984611185e-20
MRC2,2.5074072,7.880335977676672e-20
HSPB1,2.0401003,7.951281399378593e-20
PYGL,3.2526035,8.983130088033174e-20
MARCKSL1,2.549126,9.735822844369388e-20
MFAP2,2.6095881,4.682198485257087e-19
CALD1,2.3446357,5.056229842026028e-19
UCP2,2.2932222,7.005372244813034e-19
LYPD6,3.2903044,7.561169617264256e-19
APOC1,2.5741363,1.251357607307124e-18
PDLIM7,2.6872783,1.7298774679637758e-18
FLNB,2.2029853,1.8284921464985668e-18
KRT14,3.4105356,3.1066750954062408e-18
TMSB10,1.7153996,4.03602364890389e-18
TUBA1C,2.3431277,4.406775351334084e-18
CD82,2.2283957,4.463163950085274e-18
GS1-166A23.1,4.5066166,4.997816505233308e-18
MYLK,3.0885937,6.92469867252087e-18
SMTN,1.9992745,1.7165212691565475e-17
MEST,3.913515,1.837340991697444e-17
APOE,2.4445877,2.0924456988145683e-17
MTSS1,2.339895,3.523416675474776e-17
HES4,2.1675336,4.694859417215049e-17
PPFIBP2,3.1581447,4.99949826238641e-17
MIR205HG,2.291797,6.887375258703272e-17
KRT5,2.6280787,9.47401310303434e-17
SLC22A2,6.6696935,1.0532499441413776e-16
BASP1,2.4399934,1.176997964547979e-16
EZR,1.9994406,1.4337429777554257e-16
PXMP2,2.0424044,1.5798401842409518e-16
KIF21A,2.1535797,3.099388458214477e-16
CTD-2194D22.3,2.4888923,3.878557118064856e-16
ILF2,1.8875613,4.085134911568166e-16
PRSS8,2.0998967,6.555376179950587e-16
HSPA2,2.4530854,6.568554463504613e-16
S100A14,1.7965832,1.6735185305923037e-15
ACTB,1.3257273,3.4000082155754126e-15
VSNL1,2.0147598,4.747451049765953e-15
TLE1,1.6757808,5.323231824117581e-15
ETNK2,2.6701443,5.67753622688318e-15
NELL2,2.394705,8.734488353565655e-15
TMPRSS13,2.312599,9.540472477943602e-15
RHOV,2.1403859,1.1583474971854612e-14
RP3-428L16.2,3.7572472,1.2523918595531404e-14
MYL9,2.6065624,1.517963817397795e-14
SERPINA11,3.1020508,1.6032879716559798e-14
RNF152,2.0705652,1.8976640082619855e-14
SESN3,2.0108104,1.9387510080783768e-14
FKBP1A,1.6627955,2.1883974555901844e-14
MYL6,1.3589231,2.3366371192904028e-14
ADGRB1,2.7166777,2.366447473098665e-14
CNN3,1.8867382,2.946177461968817e-14
CAPNS2,1.9475783,2.946177461968817e-14
AFDN,2.1162682,2.997267029087186e-14
