,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
CXCL14,0,2.4567831,0.998,0.799,0,bulge,CXCL14
KRT15,0,1.775079901,1,0.763,0,bulge,KRT15
SFRP1,0,1.606871734,0.991,0.39,0,bulge,SFRP1
ITM2A,0,1.321252278,0.984,0.586,0,bulge,ITM2A
CAV1,0,1.16889795,0.989,0.685,0,bulge,CAV1
DST,0,1.161547474,0.983,0.639,0,bulge,DST
LGALS1,0,0.843054835,0.999,0.779,0,bulge,LGALS1
FTH1,0,0.610499457,1,0.973,0,bulge,FTH1
S100A6,4.69256238248458e-317,0.782257742,0.998,0.937,9.38512476496915e-314,bulge,S100A6
LMCD1,0.00E+00,1.169570227,0.949,0.452,3.36E-306,bulge,LMCD1
CYP1B1,0.00E+00,1.321457418,0.96,0.53,7.47E-306,bulge,CYP1B1
GSN,6.77E-283,0.626644347,0.993,0.818,1.35E-279,bulge,GSN
DIO2,1.64E-268,1.593757397,0.91,0.297,3.28E-265,bulge,DIO2
FRZB,1.99E-267,1.015464052,0.922,0.428,3.98E-264,bulge,FRZB
NTRK2,2.30E-236,0.988488986,0.916,0.497,4.59E-233,bulge,NTRK2
APP,1.66E-227,0.760400934,0.962,0.719,3.32E-224,bulge,APP
EFEMP1,5.34E-224,1.00191278,0.894,0.422,1.07E-220,bulge,EFEMP1
EMP3,7.52E-223,0.606521277,0.928,0.529,1.50E-219,bulge,EMP3
IGFBP7,2.83E-221,1.097418325,0.933,0.489,5.65E-218,bulge,IGFBP7
GLUL,8.86E-214,0.861780122,0.962,0.738,1.77E-210,bulge,GLUL
RCAN1,1.29E-212,1.354379959,0.896,0.484,2.59E-209,bulge,RCAN1
FOSB,2.94E-205,0.855913323,0.994,0.887,5.88E-202,bulge,FOSB
RARRES2,6.75E-197,0.834915478,0.886,0.469,1.35E-193,bulge,RARRES2
FGL2,1.88E-194,0.988775983,0.823,0.334,3.76E-191,bulge,FGL2
SOSTDC1,3.45E-185,0.926347889,0.932,0.632,6.91E-182,bulge,SOSTDC1
DCN,1.94E-183,0.915130588,0.81,0.248,3.88E-180,bulge,DCN
FTL,9.91E-179,0.31365282,0.998,0.915,1.98E-175,bulge,FTL
DUSP1,6.80E-171,0.610138373,0.996,0.929,1.36E-167,bulge,DUSP1
COL17A1,1.45E-165,0.739683692,0.885,0.52,2.90E-162,bulge,COL17A1
ATF3,1.86E-165,0.795444174,0.98,0.853,3.73E-162,bulge,ATF3
MAP1B,8.39E-158,0.845493796,0.79,0.374,1.68E-154,bulge,MAP1B
GPNMB,4.77E-157,0.492741708,0.967,0.763,9.54E-154,bulge,GPNMB
SOCS3,5.72E-157,0.874389273,0.933,0.691,1.14E-153,bulge,SOCS3
MALAT1,1.96E-155,0.379660777,1,0.986,3.91E-152,bulge,MALAT1
LHX2,1.13E-153,0.798998502,0.784,0.404,2.27E-150,bulge,LHX2
NR3C1,9.83E-136,0.674156055,0.786,0.486,1.97E-132,bulge,NR3C1
MITF,3.96E-135,0.264647861,0.805,0.395,7.91E-132,bulge,MITF
ARL4D,1.45E-134,0.730410528,0.842,0.564,2.89E-131,bulge,ARL4D
PPP1R1C,1.57E-132,0.866464988,0.712,0.312,3.13E-129,bulge,PPP1R1C
CHST2,2.25E-131,0.713741257,0.767,0.371,4.50E-128,bulge,CHST2
TUBA1A,2.42E-131,0.598884346,0.96,0.83,4.84E-128,bulge,TUBA1A
KRT8,6.34E-130,0.664177839,0.762,0.399,1.27E-126,bulge,KRT8
BCAM,2.11E-128,0.622889216,0.799,0.474,4.22E-125,bulge,BCAM
GADD45B,5.85E-127,0.612942481,0.978,0.886,1.17E-123,bulge,GADD45B
NPPC,6.19E-126,1.297364089,0.727,0.369,1.24E-122,bulge,NPPC
CTSF,2.72E-124,0.577131925,0.788,0.499,5.44E-121,bulge,CTSF
NET1,3.40E-121,0.717015165,0.807,0.541,6.81E-118,bulge,NET1
ACAT1,8.80E-115,0.583543819,0.784,0.536,1.76E-111,bulge,ACAT1
TGFB2,3.65E-113,0.669215408,0.653,0.231,7.30E-110,bulge,TGFB2
KLF10,1.11E-112,0.710107169,0.881,0.723,2.22E-109,bulge,KLF10
CCNL1,1.31E-106,0.584252871,0.968,0.872,2.61E-103,bulge,CCNL1
THBS1,5.36E-98,0.624871513,0.643,0.362,1.07E-94,bulge,THBS1
MAFF,7.71E-97,0.700226277,0.781,0.603,1.54E-93,bulge,MAFF
IFITM3,1.63E-96,0.286591097,0.906,0.677,3.25E-93,bulge,IFITM3
GOLIM4,4.92E-94,0.547509009,0.701,0.469,9.85E-91,bulge,GOLIM4
PHLDA1,4.22E-93,0.526947932,0.763,0.501,8.44E-90,bulge,PHLDA1
NPC2,4.74E-91,0.352907085,0.953,0.848,9.48E-88,bulge,NPC2
PNRC1,1.63E-90,0.416000924,0.986,0.893,3.26E-87,bulge,PNRC1
TUBB2A,3.03E-90,0.467179552,0.941,0.804,6.06E-87,bulge,TUBB2A
EFNA5,1.51E-89,0.532761969,0.657,0.346,3.03E-86,bulge,EFNA5
ACP5,3.55E-84,0.505692495,0.722,0.5,7.09E-81,bulge,ACP5
IER3,7.10E-82,0.602560935,0.946,0.825,1.42E-78,bulge,IER3
NFIC,3.14E-79,0.452592992,0.841,0.691,6.29E-76,bulge,NFIC
C2orf40,1.35E-78,0.497468322,0.548,0.308,2.71E-75,bulge,C2orf40
NAP1L1,3.00E-77,0.271996607,0.979,0.89,6.01E-74,bulge,NAP1L1
TENM2,9.97E-77,0.45831653,0.63,0.437,1.99E-73,bulge,TENM2
SLC40A1,2.37E-76,0.519270412,0.656,0.39,4.73E-73,bulge,SLC40A1
PDPN,3.90E-75,0.507144284,0.631,0.379,7.81E-72,bulge,PDPN
BTG2,8.14E-74,0.476086425,0.912,0.777,1.63E-70,bulge,BTG2
ADIRF,9.44E-73,0.292875981,0.743,0.478,1.89E-69,bulge,ADIRF
TCEAL3,9.20E-72,0.419673027,0.625,0.423,1.84E-68,bulge,TCEAL3
MYL9,2.81E-71,0.410885192,0.684,0.442,5.63E-68,bulge,MYL9
PPT1,9.84E-69,0.412794476,0.757,0.602,1.97E-65,bulge,PPT1
STK17A,8.13E-68,0.396740586,0.69,0.51,1.63E-64,bulge,STK17A
PALLD,8.56E-67,0.402940241,0.799,0.629,1.71E-63,bulge,PALLD
ATP1B1,1.54E-66,0.426909257,0.757,0.599,3.07E-63,bulge,ATP1B1
RRBP1,2.78E-66,0.445470869,0.68,0.544,5.56E-63,bulge,RRBP1
ANXA1,4.61E-64,0.361111477,0.93,0.805,9.22E-61,bulge,ANXA1
KRT19,1.71E-63,0.763639338,0.488,0.244,3.43E-60,bulge,KRT19
SGK1,3.10E-63,0.458770777,0.837,0.7,6.20E-60,bulge,SGK1
GCLM,2.84E-62,0.414524413,0.599,0.413,5.67E-59,bulge,GCLM
CYBA,5.88E-61,0.255657414,0.857,0.686,1.18E-57,bulge,CYBA
CREB5,1.33E-60,0.432702459,0.638,0.426,2.66E-57,bulge,CREB5
FAM171B,4.06E-60,0.39578001,0.491,0.27,8.13E-57,bulge,FAM171B
