.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Hair_graft_4_1	1	1	1	1	0.5	1	1	1	1	1	1
Hair_graft_4_2	1	1	0.5	1	0.25	1	1	1	1	0.5	1
Hair_graft_4_3	1	1	1	1	0.5	1	1	1	1	1	1
Hair_graft_4_4	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
Hair_graft_4_5	1	1	1	1	0.5	1	1	1	1	1	1
Hair_graft_4_6	1	1	1	1	0.25	1	1	1	0.25	0.5	1
Hair_graft_4_7	1	1	1	1	0.5	1	1	1	1	1	1
Hair_graft_4_8	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
Hair_graft_5_1	1	1	1	1	0.5	1	1	1	0.25	1	1
Hair_graft_5_2	1	1	0.5	1	0.25	1	1	1	1	0.5	1
Hair_graft_5_3	1	1	1	1	0.5	1	1	1	0.25	1	1
Hair_graft_5_4	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
Hair_graft_5_5	1	1	1	1	0.5	1	1	1	0.25	1	1
Hair_graft_5_6	1	1	1	1	0.25	1	1	1	0.25	0.5	1
Hair_graft_5_7	1	1	1	1	0.5	1	1	1	0.25	1	1
Hair_graft_5_8	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
