Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
Hair_graft_4_2 - polya	(1, 0.023104189047213914)	(2, 0.051156240410976314)	(3, 0.0833044122959441)	(4, 0.1246277463407251)	(5, 0.16725178802958754)	(6, 0.20637833032889574)	(7, 0.24079350261057936)	(8, 0.2754008248851387)	(9, 0.31031854330203557)	(10, 0.3463374289857969)	(11, 0.3817207416162002)	(12, 0.4169100566576425)	(13, 0.45358668654778594)	(14, 0.4908305284361296)	(15, 0.5249094382302808)	(16, 0.5608267061293483)	(17, 0.5960917726102897)	(18, 0.6319757837798209)	(19, 0.6676140646700016)	(20, 0.7009742595869544)	(21, 0.7361931361657622)	(22, 0.7707431829616759)	(23, 0.8062502845297972)	(24, 0.8414432947634102)	(25, 0.8763739463529044)	(26, 0.913795157465441)	(27, 0.9493909436456589)	(28, 0.9828897082690123)	(29, 1.018904898760603)	(30, 1.0560341896916554)	(31, 1.1203120575007375)	(32, 1.1571438854620497)	(33, 1.1934417581546979)	(34, 1.2286421587726524)	(35, 1.264528017538269)	(36, 1.3014004926134586)	(37, 1.3371588672491865)	(38, 1.374277072603727)	(39, 1.411975423129065)	(40, 1.449289473668652)	(41, 1.4856021271299826)	(42, 1.5233300391926863)	(43, 1.5603115224369113)	(44, 1.597943359503177)	(45, 1.6367539628718915)	(46, 1.6753576354790476)	(47, 1.7157737998459253)
Hair_graft_4_2 - polyg	(1, 1.3288262089042897)	(2, 1.380041572389997)	(3, 1.4163486830630718)	(4, 1.431502666155055)	(5, 1.4459471723502664)	(6, 1.460694684303474)	(7, 1.4748749842584814)	(8, 1.4902488312846203)	(9, 1.5076919859263433)	(10, 1.5243258934826862)	(11, 1.540270647699196)	(12, 1.556206163935279)	(13, 1.5731024301357406)	(14, 1.5827856812190233)	(15, 1.5919941001083726)	(16, 1.6009900454479076)	(17, 1.609638642723398)	(18, 1.6181135659668662)	(19, 1.627351546393581)	(20, 1.6356509480089418)	(21, 1.6442552029783841)	(22, 1.6523809305617225)	(23, 1.6603570028621482)	(24, 1.6684143693903288)	(25, 1.6766583431231292)	(26, 1.685277378861254)	(27, 1.6943065809303253)	(28, 1.701599042679174)	(29, 1.707757080431622)	(30, 1.7136656927125489)	(31, 1.7200990222817132)	(32, 1.7261388138846994)	(33, 1.7329712242082977)	(34, 1.7396318080959592)	(35, 1.7456956184480548)	(36, 1.7524430393517274)	(37, 1.758804312673563)	(38, 1.765311546086141)	(39, 1.772103309295862)	(40, 1.7782816706052489)	(41, 1.7837948973239122)	(42, 1.789417132211611)	(43, 1.7949137305655063)	(44, 1.800196007773502)	(45, 1.8054468758480466)	(46, 1.8105887357535562)	(47, 1.816007735071867)
Hair_graft_4_4 - polya	(1, 0.024152769798333897)	(2, 0.05238577788407769)	(3, 0.08369063584752824)	(4, 0.125010284628086)	(5, 0.16804606109108297)	(6, 0.20668974581403965)	(7, 0.2420823116086757)	(8, 0.27724332154626874)	(9, 0.3126732350597827)	(10, 0.34971470264287774)	(11, 0.3861940870568604)	(12, 0.4220759079687969)	(13, 0.46096795502229154)	(14, 0.4979683401146209)	(15, 0.5340985233570953)	(16, 0.5698272186216324)	(17, 0.6062935313340079)	(18, 0.6446739146388754)	(19, 0.6799824480660361)	(20, 0.7153040531948042)	(21, 0.7527712847731072)	(22, 0.7884084781263935)	(23, 0.8253248308512475)	(24, 0.8627528473247288)	(25, 0.8984703382736025)	(26, 0.9362270146732091)	(27, 0.973359984167555)	(28, 1.008502320245709)	(29, 1.045583002933626)	(30, 1.0853303127494245)	(31, 1.1492471988370518)	(32, 1.188182195767256)	(33, 1.2264075860387802)	(34, 1.2626852927708223)	(35, 1.299982592228231)	(36, 1.3384040580238643)	(37, 1.3752139697499164)	(38, 1.4138707261744803)	(39, 1.4526339235978463)	(40, 1.490334578419136)	(41, 1.528388169183822)	(42, 1.5690673045856238)	(43, 1.6068800025635475)	(44, 1.6458224690375272)	(45, 1.6864978696674413)	(46, 1.7254664795446357)	(47, 1.7676189824561706)
Hair_graft_4_4 - polyg	(1, 1.340661727630033)	(2, 1.3838338232669343)	(3, 1.4220928264854487)	(4, 1.4367443366012462)	(5, 1.451147484386506)	(6, 1.4647607279174983)	(7, 1.4782320501167545)	(8, 1.4931095139317636)	(9, 1.509413660607908)	(10, 1.5252210826229766)	(11, 1.5409500744284015)	(12, 1.5564344386751763)	(13, 1.5729066500862714)	(14, 1.5818607656872463)	(15, 1.5910856522500862)	(16, 1.59970363838116)	(17, 1.6082021118118248)	(18, 1.6169489475730277)	(19, 1.625578138019765)	(20, 1.6337890340150698)	(21, 1.642461174338517)	(22, 1.6503956972141254)	(23, 1.658078122987308)	(24, 1.6663842556657518)	(25, 1.6739340970369179)	(26, 1.6821879429089324)	(27, 1.6911756714568975)	(28, 1.6984771504975258)	(29, 1.7046656675155927)	(30, 1.711025984040498)	(31, 1.716895178062159)	(32, 1.7233059140075495)	(33, 1.7303086112971546)	(34, 1.7365643542092017)	(35, 1.7423644549509387)	(36, 1.7490571661738572)	(37, 1.7547807040918946)	(38, 1.7607731455858526)	(39, 1.7669056410256028)	(40, 1.7722613039126927)	(41, 1.7778709312881524)	(42, 1.7837046449768794)	(43, 1.7888100781474874)	(44, 1.7936298012686795)	(45, 1.7985821087918883)	(46, 1.8035120076837703)	(47, 1.808695871064022)
Hair_graft_4_6 - polya	(1, 0.023332765772589286)	(2, 0.05003162917601159)	(3, 0.07985633918980072)	(4, 0.1186736707330831)	(5, 0.1580670880566232)	(6, 0.1947867440233619)	(7, 0.22678662994287735)	(8, 0.25784876187928274)	(9, 0.2905900676146455)	(10, 0.32396429270499993)	(11, 0.3558505114750475)	(12, 0.3886744842282051)	(13, 0.4230329634991791)	(14, 0.45715119174968694)	(15, 0.4884974915597621)	(16, 0.5215307152017128)	(17, 0.5531611828854577)	(18, 0.5862073232489389)	(19, 0.6197132988989037)	(20, 0.6511267656609372)	(21, 0.6837595709354443)	(22, 0.7170097954991064)	(23, 0.750828355810108)	(24, 0.7848690837314332)	(25, 0.8177550567479369)	(26, 0.8524777875660694)	(27, 0.8850175924455572)	(28, 0.9177821482796749)	(29, 0.9527864636271709)	(30, 0.9882635309826812)	(31, 1.0491555396214878)	(32, 1.0846971905846503)	(33, 1.1191202534632765)	(34, 1.152701146098118)	(35, 1.1876873780354715)	(36, 1.2228337773198026)	(37, 1.2570940895071452)	(38, 1.291646319601076)	(39, 1.326418133961024)	(40, 1.3623421198814876)	(41, 1.3976926033659995)	(42, 1.4338955904715205)	(43, 1.4695896587487423)	(44, 1.506218897664768)	(45, 1.5437368070220878)	(46, 1.5805804635155187)	(47, 1.6202167152038311)
Hair_graft_4_6 - polyg	(1, 1.5131525937823087)	(2, 1.5830398072949148)	(3, 1.621730554967199)	(4, 1.6329784360759072)	(5, 1.646117325216672)	(6, 1.6574659567533179)	(7, 1.6696825919768095)	(8, 1.683454400472566)	(9, 1.6981303794754534)	(10, 1.7131499432710506)	(11, 1.7276037546636147)	(12, 1.7413187295846373)	(13, 1.7562168761978483)	(14, 1.7647444957522458)	(15, 1.7731119479596655)	(16, 1.7815181503316768)	(17, 1.789371517022185)	(18, 1.7975013015534451)	(19, 1.8055871692315013)	(20, 1.8130091174228928)	(21, 1.8205188993206916)	(22, 1.8279899310538987)	(23, 1.834988210779092)	(24, 1.8424592425122992)	(25, 1.8492534380373113)	(26, 1.8567864700338648)	(27, 1.8637511662830788)	(28, 1.8707907795171694)	(29, 1.8769133055225986)	(30, 1.88240032882873)	(31, 1.888569355031669)	(32, 1.8945988806420788)	(33, 1.900863490584343)	(34, 1.907102267083546)	(35, 1.9130904591850588)	(36, 1.91927756879814)	(37, 1.9250823434539206)	(38, 1.9304737830207268)	(39, 1.9359065560964304)	(40, 1.9410396612326277)	(41, 1.9458498483305642)	(42, 1.9506135352309908)	(43, 1.9555528895442316)	(44, 1.9601228256217018)	(45, 1.9645119275977458)	(46, 1.9689165296396263)	(47, 1.9734012153549956)
Hair_graft_4_8 - polya	(1, 0.0245866985827435)	(2, 0.05345548501879455)	(3, 0.08618268042285392)	(4, 0.1279856637723803)	(5, 0.16987924512253672)	(6, 0.20786911850436984)	(7, 0.24139570803163532)	(8, 0.27549786132760923)	(9, 0.3097145944479094)	(10, 0.3447946732212721)	(11, 0.3795976286985901)	(12, 0.4143392972931289)	(13, 0.4508875966061136)	(14, 0.48530684290429266)	(15, 0.5182738565453139)	(16, 0.5512914984808047)	(17, 0.5847168314191308)	(18, 0.6189095827157347)	(19, 0.6523109338303646)	(20, 0.6854031858840215)	(21, 0.719622583651399)	(22, 0.7528933670592385)	(23, 0.7887275409554924)	(24, 0.823317324666622)	(25, 0.8572276233730265)	(26, 0.8933389205653252)	(27, 0.9284642983390029)	(28, 0.961807027217931)	(29, 0.9962102856336459)	(30, 1.0325267606509008)	(31, 1.0946476779652499)	(32, 1.1309721469237368)	(33, 1.1656685165179608)	(34, 1.2007992235857932)	(35, 1.23589529024162)	(36, 1.2706049830712307)	(37, 1.3041369018926507)	(38, 1.3394408110205114)	(39, 1.3741904735562822)	(40, 1.4096968958620215)	(41, 1.4451153848142082)	(42, 1.4819168255995416)	(43, 1.517002233667059)	(44, 1.5535638562154306)	(45, 1.5905358344137146)	(46, 1.6273106287282744)	(47, 1.6660306154093023)
Hair_graft_4_8 - polyg	(1, 1.3083523735690246)	(2, 1.3612136422895693)	(3, 1.3951132824076642)	(4, 1.4163318670846325)	(5, 1.432407682902308)	(6, 1.4488405614283488)	(7, 1.464596619596742)	(8, 1.481189376947424)	(9, 1.5007292339656595)	(10, 1.5195389776847)	(11, 1.537472052515291)	(12, 1.5556076405237609)	(13, 1.574814416657327)	(14, 1.5856915060270853)	(15, 1.5964033872780476)	(16, 1.6061853066990133)	(17, 1.6163296181224993)	(18, 1.6260982143080782)	(19, 1.6361306105543154)	(20, 1.6458539077395793)	(21, 1.6557823827497995)	(22, 1.6656628941126275)	(23, 1.676294835951269)	(24, 1.6865377393166172)	(25, 1.697012466977695)	(26, 1.7091525990621188)	(27, 1.7224385293898048)	(28, 1.7326414630489926)	(29, 1.7407819598703085)	(30, 1.7483202464521423)	(31, 1.7557306299742632)	(32, 1.7633755024391913)	(33, 1.7713321386121696)	(34, 1.7795792213165798)	(35, 1.7877996575502162)	(36, 1.7960280877250847)	(37, 1.8033158974816474)	(38, 1.8103905354720218)	(39, 1.8177103209935126)	(40, 1.824236041685952)	(41, 1.8307244573193084)	(42, 1.837407392189312)	(43, 1.8439943997645305)	(44, 1.8501710516898366)	(45, 1.8565741986167177)	(46, 1.862804143483571)	(47, 1.8691140277627447)
Hair_graft_5_2 - polya	(1, 0.01998378132339308)	(2, 0.04652399181334224)	(3, 0.0771507043664476)	(4, 0.1174749490328241)	(5, 0.1581098522323922)	(6, 0.1963860517540241)	(7, 0.2298796439807186)	(8, 0.2633272127210144)	(9, 0.29927539088897587)	(10, 0.3365870148415005)	(11, 0.3717470408048833)	(12, 0.40712376068339357)	(13, 0.4469858528405159)	(14, 0.48650276884964755)	(15, 0.5218507240491586)	(16, 0.5588689482758912)	(17, 0.5959466195058888)	(18, 0.6336820430623353)	(19, 0.6716648428581751)	(20, 0.7068287041120911)	(21, 0.744452904243074)	(22, 0.7811681405176814)	(23, 0.8179332355692208)	(24, 0.8555229180854046)	(25, 0.8919236605362871)	(26, 0.9306562596313733)	(27, 0.9682766244718229)	(28, 1.0031528389357467)	(29, 1.0396283695520274)	(30, 1.0765046880290303)	(31, 1.1297845441166567)	(32, 1.1664058157732)	(33, 1.2039609806745846)	(34, 1.2405266406183961)	(35, 1.278319593532841)	(36, 1.316914122168731)	(37, 1.354442440036383)	(38, 1.393142439161937)	(39, 1.4334072368250483)	(40, 1.472590482557789)	(41, 1.5122972454483155)	(42, 1.5539254888959901)	(43, 1.5933637814491906)	(44, 1.6333217558696438)	(45, 1.6747659053717232)	(46, 1.7136308219902059)	(47, 1.754864030512958)
Hair_graft_5_2 - polyg	(1, 1.657681603691452)	(2, 1.7206129684059506)	(3, 1.7659365142823917)	(4, 1.7838511563631074)	(5, 1.800377423270794)	(6, 1.8170053253776113)	(7, 1.8334817335083657)	(8, 1.8514423990754802)	(9, 1.8714568627231392)	(10, 1.8901749981705664)	(11, 1.9086016515374682)	(12, 1.9263091879293894)	(13, 1.94515580560968)	(14, 1.9554976665325339)	(15, 1.9658318568743212)	(16, 1.9758266240039175)	(17, 1.9851713093881316)	(18, 1.9946559828768085)	(19, 2.0048751145025987)	(20, 2.0135946475298963)	(21, 2.023052473984841)	(22, 2.032410582885921)	(23, 2.041133951203752)	(24, 2.0500068958523787)	(25, 2.058943122794804)	(26, 2.0689513134412665)	(27, 2.078986351121462)	(28, 2.0871785317004403)	(29, 2.0940532899812547)	(30, 2.10075162489754)	(31, 2.1077107595700855)	(32, 2.114543329655034)	(33, 2.1221793931066943)	(34, 2.1295949273526937)	(35, 2.136180121198249)	(36, 2.143428820306053)	(37, 2.1503879549785982)	(38, 2.1571783368676813)	(39, 2.164534424110416)	(40, 2.1708779946523777)	(41, 2.1770739065088103)	(42, 2.183133665551313)	(43, 2.189128224654751)	(44, 2.194605019536203)	(45, 2.2002294731031844)	(46, 2.205721609146769)	(47, 2.2116893212164745)
