Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
Hair_graft_4_1	(1, 0.02279748809704698)	(2, 0.0012083278398143063)	(3, 0.0012471273576065089)	(4, 0.0006669821868088143)	(5, 0.000835113430575025)	(6, 0.0038263714927453027)	(7, 0.0)	(8, 0.0)	(9, 9.237980426714879e-06)	(10, 0.0)	(11, 0.0)	(12, 9.607499643783475e-05)	(13, 0.0)	(14, 0.0003362624875324216)	(15, 1.847596085342976e-06)	(16, 8.683701601111987e-05)	(17, 9.237980426714879e-06)	(18, 0.00062079228467524)	(19, 0.0015113335978105544)	(20, 0.0014873148487010955)	(21, 0.0004877653665305456)	(22, 0.0005764499786270086)	(23, 0.0006318778611872978)	(24, 0.0009404264074395748)	(25, 0.0009662927526343764)	(26, 0.0005893831512244093)																																
Hair_graft_4_2	(1, 0.03256388100416995)	(2, 0.017040378695118267)	(3, 0.02154481795118444)	(4, 0.0306183623263038)	(5, 0.039340863445207985)	(6, 0.05169758606398181)	(7, 0.06257992700665194)	(8, 0.07037863008288464)	(9, 0.07895701870713208)	(10, 0.08071408258429325)	(11, 0.08219031185648228)	(12, 0.08265405847390338)	(13, 0.08639174535455221)	(14, 0.09431978015675892)	(15, 0.08631045112679711)	(16, 0.08484530743112013)	(17, 0.08942549812668538)	(18, 0.09078163365332712)	(19, 0.07920274898648269)	(20, 0.09342369605536757)	(21, 0.08173395562340256)	(22, 0.07995472059321729)	(23, 0.07706323271965553)	(24, 0.08068636864301311)	(25, 0.0816194046661113)	(26, 0.08061431239568473)	(27, 0.07194908675542616)	(28, 0.06589451438375724)	(29, 0.061720794826967455)	(30, 0.06346677312761657)	(31, 0.051043537049770396)	(32, 0.05431193452474212)	(33, 0.043084093114112855)	(34, 0.043438831562498705)	(35, 0.04339633685253582)	(36, 0.03368721942405848)	(37, 0.026657116319328458)	(38, 0.032297827167880565)	(39, 0.021868147266119464)	(40, 0.016415891218272343)	(41, 0.019691679077585438)	(42, 0.016994188792984692)	(43, 0.012580281745100324)	(44, 0.014437115810870014)	(45, 0.011425534191760962)	(46, 0.013289758641872026)	(47, 0.012984905287790434)	(48, 0.008777929001464478)	(49, 0.006850886284451754)	(50, 0.01118719429675172)	(51, 0.007623181448125118)	(52, 0.006743725711501862)	(53, 0.011061557762948397)	(54, 0.006392682455286697)	(55, 0.006102609869887849)	(56, 0.010440765478273157)	(57, 0.008975621782596178)	(58, 0.01080289431100038)
Hair_graft_4_3	(1, 0.010778551668160139)	(2, 0.0008702018498549247)	(3, 0.0026311467949476156)	(4, 0.0009448972876107121)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.4276017270630946e-05)	(11, 0.0)	(12, 9.897145502641848e-05)	(13, 0.00010083884097031315)	(14, 0.00018300382250167942)	(15, 0.00020727983977231038)	(16, 0.000575154870719564)	(17, 0.00025956664620136165)	(18, 0.000143788717679891)	(19, 0.0007114740446238762)	(20, 0.0003454663996205173)	(21, 0.00033239469801325447)	(22, 0.0005807570285512481)	(23, 0.0014285502470794363)	(24, 0.0027301182499740342)	(25, 0.0003454663996205173)	(26, 0.005764620408802902)																																
Hair_graft_4_4	(1, 0.02350105210391465)	(2, 0.02479515056303367)	(3, 0.028789489097024404)	(4, 0.03942985420533634)	(5, 0.05436707437054995)	(6, 0.060012182078943585)	(7, 0.0728373887416123)	(8, 0.08417802357888475)	(9, 0.08174481969398997)	(10, 0.08395020249372959)	(11, 0.09760452851548755)	(12, 0.09771470428617735)	(13, 0.09525348961212414)	(14, 0.10840735620091832)	(15, 0.08443945761103)	(16, 0.09697148468050726)	(17, 0.10118430736993367)	(18, 0.09148883954923245)	(19, 0.09035533628128838)	(20, 0.10277718758007583)	(21, 0.08344414090293413)	(22, 0.08249364145749175)	(23, 0.09083525446886931)	(24, 0.07657216062940168)	(25, 0.08005110064287749)	(26, 0.08928345674949283)	(27, 0.0732258050179424)	(28, 0.06628846623637365)	(29, 0.07267679355043737)	(30, 0.05293292196563883)	(31, 0.0594108838050095)	(32, 0.059918812781748855)	(33, 0.047734119497836014)	(34, 0.03815629699160016)	(35, 0.04058763349055104)	(36, 0.02927314205649313)	(37, 0.03502655814963267)	(38, 0.03173995888837801)	(39, 0.02027794396475242)	(40, 0.018419894950577203)	(41, 0.023964163818000532)	(42, 0.01378691042377448)	(43, 0.012444259930114202)	(44, 0.013999792421378476)	(45, 0.011351839152935809)	(46, 0.012823339276724823)	(47, 0.01562628557851075)	(48, 0.005407949693519017)	(49, 0.009437768560443755)	(50, 0.011152028856939077)	(51, 0.007547973985222329)	(52, 0.007482615477186015)	(53, 0.006858908571925189)	(54, 0.0038412128865913733)	(55, 0.00865533384995188)	(56, 0.011680499079061274)	(57, 0.007622669422978116)	(58, 0.009615170225113748)
Hair_graft_4_5	(1, 0.0222942613615418)	(2, 0.00011108380516179576)	(3, 0.0007956700462751883)	(4, 0.00044691856495327126)	(5, 0.0016585070445086715)	(6, 0.0007750032918264822)	(7, 0.00021183423309923844)	(8, 6.716695195829511e-05)	(9, 0.0003229180382610342)	(10, 0.0)	(11, 0.0)	(12, 0.00025575108630273907)	(13, 0.0010178376565987796)	(14, 0.0004030017117497707)	(15, 0.00013175055961050196)	(16, 1.5500065836529642e-05)	(17, 2.3250098754794462e-05)	(18, 0.00028675121797579835)	(19, 0.0005890025017881263)	(20, 0.0012012551023310473)	(21, 6.716695195829511e-05)	(22, 5.941691904003029e-05)	(23, 0.00018858413434444396)	(24, 0.00010075042793744268)	(25, 0.0033867643852817267)	(26, 8.266701779482475e-05)																																
Hair_graft_4_6	(1, 0.006360193681589329)	(2, 0.005073688217157369)	(3, 0.01951458288819082)	(4, 0.018685329365936483)	(5, 0.03145996695954299)	(6, 0.03821282897565774)	(7, 0.037070990792366726)	(8, 0.04586986149890338)	(9, 0.0391247495157069)	(10, 0.04512069165013778)	(11, 0.0432451836839177)	(12, 0.03675582278702395)	(13, 0.03971116867318894)	(14, 0.0505586314144536)	(15, 0.04010125366340827)	(16, 0.035825818836832175)	(17, 0.03945283424258011)	(18, 0.04571486084053809)	(19, 0.04536094267060399)	(20, 0.03874758124701801)	(21, 0.03648457163488469)	(22, 0.047440534837005055)	(23, 0.043020432729288016)	(24, 0.03724407486087464)	(25, 0.03977833562514724)	(26, 0.03612290343203233)	(27, 0.039233249976562606)	(28, 0.03392189408324512)	(29, 0.027714117715714998)	(30, 0.02849945438476583)	(31, 0.02030508624585383)	(32, 0.02343351620052673)	(33, 0.019695416989616996)	(34, 0.014536478410358714)	(35, 0.015226231340084283)	(36, 0.010330793880047005)	(37, 0.007597615604205613)	(38, 0.007328947796372431)	(39, 0.003203346939549459)	(40, 0.004569936077470156)	(41, 0.0045363526014910085)	(42, 0.002056342067646266)	(43, 0.0032085136281616356)	(44, 0.0024619271237021245)	(45, 0.002118342330992384)	(46, 0.0027047614884744223)	(47, 0.0012555053327589008)	(48, 0.0008085867678056296)	(49, 0.0006923362740316573)	(50, 0.0010333377224353093)	(51, 0.0017050072420182604)	(52, 0.000707836339868187)	(53, 0.00222942613615418)	(54, 0.001568089993795582)	(55, 0.0007414198158473345)	(56, 0.0015732566824077584)	(57, 0.0013200889404111076)	(58, 0.0017024238977121724)
Hair_graft_4_7	(1, 0.021882081799229396)	(2, 0.00012790305971298235)	(3, 0.00314961284543219)	(4, 0.0002424828840391957)	(5, 5.329294154707597e-05)	(6, 0.00012523841263562856)	(7, 8.260405939796776e-05)	(8, 0.0)	(9, 0.0)	(10, 1.0658588309415195e-05)	(11, 5.3292941547075975e-06)	(12, 2.6646470773537987e-05)	(13, 0.00047430717976897616)	(14, 0.0014255861863842823)	(15, 0.0007674183582778941)	(16, 0.00039703241452571596)	(17, 0.0005276001213160521)	(18, 4.796364739236838e-05)	(19, 0.0006634971222610959)	(20, 0.00019451923664682728)	(21, 0.0)	(22, 0.00029044653143156404)	(23, 0.0003677212966748242)	(24, 0.003264192669758403)	(25, 0.001955850954777688)	(26, 0.003178923963283082)																																
Hair_graft_4_8	(1, 0.007684842171088356)	(2, 0.01896162860244963)	(3, 0.01910285489754938)	(4, 0.03227420540090921)	(5, 0.04264234717889284)	(6, 0.04151520146517219)	(7, 0.05238163224662097)	(8, 0.05899795093969046)	(9, 0.04801960498099281)	(10, 0.04303937959341856)	(11, 0.060460842185157695)	(12, 0.05067092882295983)	(13, 0.04896289004637605)	(14, 0.05562184309268319)	(15, 0.0434177594784028)	(16, 0.05247755954140571)	(17, 0.050726886411584265)	(18, 0.054937028793803265)	(19, 0.06056742806825184)	(20, 0.052549505012494266)	(21, 0.04720422297532254)	(22, 0.05536603697325723)	(23, 0.03992973645414667)	(24, 0.04234124205915186)	(25, 0.04093430840230906)	(26, 0.0506149712343354)	(27, 0.04229327841175949)	(28, 0.02941237443983123)	(29, 0.038136428971087565)	(30, 0.02422963587437809)	(31, 0.031032479862862342)	(32, 0.031522774925095434)	(33, 0.023643413517360254)	(34, 0.0193613256640527)	(35, 0.015612167226215905)	(36, 0.01139936019691955)	(37, 0.011231487431046261)	(38, 0.010919723722995867)	(39, 0.0019158812486173812)	(40, 0.00656569039859976)	(41, 0.007109278402379935)	(42, 0.0017133680707384926)	(43, 0.004479271737031736)	(44, 0.005792942746167158)	(45, 0.003021709785719208)	(46, 0.004111550440356911)	(47, 0.001993156013860641)	(48, 0.00017586670710535073)	(49, 0.001931869131081504)	(50, 0.0031815886103604358)	(51, 0.0007221193579628794)	(52, 0.002430158134546664)	(53, 0.002555396547182293)	(54, 0.0006022102394819585)	(55, 0.002608689488729369)	(56, 0.0030350330211059767)	(57, 0.002528750076408755)	(58, 0.008564175706615109)
Hair_graft_5_1	(1, 0.02354293093823019)	(2, 0.0012215400348336428)	(3, 0.0012560576496327097)	(4, 0.000663505262248729)	(5, 0.0010240225723723159)	(6, 0.003852549340629181)	(7, 0.0)	(8, 0.0)	(9, 1.1505871599688944e-05)	(10, 0.0)	(11, 0.0)	(12, 9.779990859735602e-05)	(13, 0.0)	(14, 0.00032791734059113483)	(15, 3.835290533229647e-06)	(16, 0.00011314107073027459)	(17, 5.752935799844472e-06)	(18, 0.0006289876474496621)	(19, 0.0015417867943583183)	(20, 0.0016146573144896815)	(21, 0.0005676229989179879)	(22, 0.0005829641610509064)	(23, 0.0006193994211165881)	(24, 0.0009530696975075675)	(25, 0.0009089638563754265)	(26, 0.0005925523873839806)																																
Hair_graft_5_2	(1, 0.032958569197308975)	(2, 0.017174431007802363)	(3, 0.021688567965413658)	(4, 0.031100370933959214)	(5, 0.03947664545853276)	(6, 0.051713139904801954)	(7, 0.06288725887336653)	(8, 0.07067289865582271)	(9, 0.07910094960259487)	(10, 0.08070026575495162)	(11, 0.08231492306944131)	(12, 0.08266201686269858)	(13, 0.08617897828167018)	(14, 0.09435390005324917)	(15, 0.08628828406186723)	(16, 0.08460075622724618)	(17, 0.08955978688671212)	(18, 0.0903345155744245)	(19, 0.0792735376765902)	(20, 0.09309976004888308)	(21, 0.08189687640131928)	(22, 0.08000416052317046)	(23, 0.07720823372444603)	(24, 0.0807597127582167)	(25, 0.0816533354524592)	(26, 0.08062164229902041)	(27, 0.07194237982232173)	(28, 0.06599767949581577)	(29, 0.06176735403766347)	(30, 0.06350282300394988)	(31, 0.05127399913874716)	(32, 0.05425401988306659)	(33, 0.043024289201770184)	(34, 0.04354588871428942)	(35, 0.0435439710690228)	(36, 0.03393273299274931)	(37, 0.02696017480333781)	(38, 0.03278406347804703)	(39, 0.02217564986313382)	(40, 0.016543525715086084)	(41, 0.01975749918193253)	(42, 0.016902125379943057)	(43, 0.01250304713832865)	(44, 0.014449457083942697)	(45, 0.011502036309155713)	(46, 0.013342975765105944)	(47, 0.012944105549650059)	(48, 0.008840344679094338)	(49, 0.006807640696482625)	(50, 0.01126616594136209)	(51, 0.00767249871172591)	(52, 0.006782711308016631)	(53, 0.010915236857571576)	(54, 0.006326311734562304)	(55, 0.006113453109968058)	(56, 0.01038404911871927)	(57, 0.00881733293589496)	(58, 0.010733060557243167)
