Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
Hair_graft_4_1	(1, 30.83851502125179)	(2, 31.206259215809272)	(3, 31.35404973846908)	(4, 31.453372827300907)	(5, 31.4954510706302)	(6, 34.56601682524461)	(7, 34.436901803815445)	(8, 34.58501362343449)	(9, 34.56390147553458)	(10, 34.450061325409266)	(11, 34.560353592199775)	(12, 34.497162535835976)	(13, 34.49403038009633)	(14, 34.44526287818814)	(15, 34.45313711099234)	(16, 34.43727357709974)	(17, 34.36811212484192)	(18, 34.33656296208378)	(19, 34.285238553477114)	(20, 34.25545537848523)	(21, 34.253431096786244)	(22, 34.23379593567291)	(23, 34.20375603720497)	(24, 34.216144464572565)	(25, 34.24013078837073)	(26, 34.05528441672426)																																
Hair_graft_4_2	(1, 27.825874267686817)	(2, 27.87972230778645)	(3, 27.82750024462172)	(4, 27.66302984621497)	(5, 27.52039103114781)	(6, 29.926730066803163)	(7, 29.800813622192912)	(8, 29.670678598392918)	(9, 29.607867832731362)	(10, 29.396858355006867)	(11, 29.407939404908515)	(12, 29.381881833518882)	(13, 29.224550601813778)	(14, 29.07947065041886)	(15, 29.051847536962267)	(16, 29.123978648884023)	(17, 28.99690413104748)	(18, 28.996805635700166)	(19, 28.944248640317088)	(20, 28.92450753804422)	(21, 28.865585333959643)	(22, 28.922914263560024)	(23, 28.894339527263718)	(24, 28.833563759358444)	(25, 28.825713582255272)	(26, 28.784022207070294)	(27, 28.85554357533196)	(28, 28.764351054785216)	(29, 28.71538591552377)	(30, 28.58496830190252)	(31, 28.502332645485627)	(32, 28.44656857434165)	(33, 28.370890927830235)	(34, 28.33558440129314)	(35, 28.31344240333525)	(36, 28.319498804827045)	(37, 28.281086635554136)	(38, 28.22962212373632)	(39, 28.215941192051258)	(40, 28.21915179672068)	(41, 28.166489451408815)	(42, 28.145068958198213)	(43, 28.089226013177353)	(44, 28.100265603022844)	(45, 28.042922003509545)	(46, 28.050980848114595)	(47, 28.039927881673442)	(48, 27.98764944835215)	(49, 28.009957859289447)	(50, 27.951006814229977)	(51, 27.988431572727)	(52, 27.955100791539724)	(53, 27.89179682857915)	(54, 27.924399342817463)	(55, 27.921916894241235)	(56, 27.87311497161797)	(57, 27.857548697459542)	(58, 25.95100097582635)
Hair_graft_4_3	(1, 30.862814359017722)	(2, 31.219093950315656)	(3, 31.34828999921084)	(4, 31.439951627981465)	(5, 31.46226009272617)	(6, 34.61849753338858)	(7, 34.509504975780565)	(8, 34.64839539073874)	(9, 34.62161326683597)	(10, 34.52358487905894)	(11, 34.615248449910936)	(12, 34.54341352996559)	(13, 34.54541282805256)	(14, 34.508674325165)	(15, 34.489370540425604)	(16, 34.46855661934723)	(17, 34.41678100982032)	(18, 34.384429332644444)	(19, 34.368403501169375)	(20, 34.36541874617209)	(21, 34.33614687393804)	(22, 34.303927911881196)	(23, 34.28076534215347)	(24, 34.28035724362929)	(25, 34.3461851191226)	(26, 34.13820232058557)																																
Hair_graft_4_4	(1, 28.04849485518366)	(2, 28.04381417761985)	(3, 28.036186821058152)	(4, 27.90401936897518)	(5, 27.77628210330551)	(6, 30.25628990673789)	(7, 30.13273228030942)	(8, 30.06398073201305)	(9, 29.996992070743154)	(10, 29.811290846593238)	(11, 29.808176121534256)	(12, 29.82493994393435)	(13, 29.66446518047893)	(14, 29.534252956174655)	(15, 29.48155659466039)	(16, 29.536404857040964)	(17, 29.399056361330516)	(18, 29.383830984840298)	(19, 29.334792851063984)	(20, 29.330398294374497)	(21, 29.29372134052765)	(22, 29.298932150287072)	(23, 29.25306069224669)	(24, 29.209033408542926)	(25, 29.219578014100033)	(26, 29.1305642265547)	(27, 29.22338774285961)	(28, 29.150098969587642)	(29, 29.070484090301257)	(30, 28.99378429384259)	(31, 28.94406618882252)	(32, 28.86749501790767)	(33, 28.8087418274321)	(34, 28.738645518495954)	(35, 28.69642267115591)	(36, 28.72971405428648)	(37, 28.674699818643212)	(38, 28.614912469831914)	(39, 28.61310857501011)	(40, 28.565980646337383)	(41, 28.50173472684644)	(42, 28.504139341052536)	(43, 28.472632487951532)	(44, 28.407718118988114)	(45, 28.41545699583838)	(46, 28.410245756580192)	(47, 28.33919267378183)	(48, 28.323816860679973)	(49, 28.307550453873755)	(50, 28.29208312018679)	(51, 28.324758135238852)	(52, 28.297849906763286)	(53, 28.18859415978034)	(54, 28.22357143761491)	(55, 28.15403444811668)	(56, 28.144083895376042)	(57, 28.175665555957956)	(58, 26.263889103119553)
Hair_graft_4_5	(1, 30.948461041088272)	(2, 31.3231944044349)	(3, 31.4425839198752)	(4, 31.5245866823486)	(5, 31.56394886703948)	(6, 34.82698198760599)	(7, 34.76105240590343)	(8, 34.863417449865615)	(9, 34.87096915944151)	(10, 34.79511274140803)	(11, 34.88417172801942)	(12, 34.82662489192256)	(13, 34.810978712132076)	(14, 34.81170197103746)	(15, 34.80093348113163)	(16, 34.78653508247443)	(17, 34.77043779910122)	(18, 34.75393839235332)	(19, 34.70450243070741)	(20, 34.69031028625961)	(21, 34.67064878858073)	(22, 34.64597844462678)	(23, 34.6248374656638)	(24, 34.62757035977177)	(25, 34.62016137996879)	(26, 34.47891829587213)																																
Hair_graft_4_6	(1, 29.02117484660683)	(2, 28.915369898866977)	(3, 28.951112120682065)	(4, 28.717572990391275)	(5, 28.726791990382313)	(6, 31.45610728814904)	(7, 31.42852895101005)	(8, 31.398730281106868)	(9, 31.30417964700305)	(10, 31.217733506489736)	(11, 31.211128205100383)	(12, 31.211808477156506)	(13, 31.063395527605838)	(14, 30.95703567750904)	(15, 30.923327581000567)	(16, 31.017950522911512)	(17, 30.903637821534982)	(18, 30.89223142641965)	(19, 30.820864783289835)	(20, 30.793397917457654)	(21, 30.723457590386115)	(22, 30.7620688485541)	(23, 30.72112922216304)	(24, 30.616206899838808)	(25, 30.629046766876144)	(26, 30.579551026642985)	(27, 30.508176504313035)	(28, 30.46539774344358)	(29, 30.40602115040817)	(30, 30.323661447251997)	(31, 30.30439393541324)	(32, 30.22242971643689)	(33, 30.18993685092344)	(34, 30.143047420927253)	(35, 30.106858228880327)	(36, 30.10219513740718)	(37, 30.099723574409214)	(38, 30.098985306273423)	(39, 30.024580417738658)	(40, 29.955066523311725)	(41, 29.9687448147436)	(42, 29.899712455695322)	(43, 29.875090575280552)	(44, 29.867793841787677)	(45, 29.821416688967386)	(46, 29.732505004648342)	(47, 29.692780040916556)	(48, 29.5491649042446)	(49, 29.532365054553903)	(50, 29.630014616820418)	(51, 29.64369427742478)	(52, 29.58150664411614)	(53, 29.56873334986157)	(54, 29.563119381016236)	(55, 29.535940273906313)	(56, 29.494255378516385)	(57, 29.47633123155024)	(58, 27.457761222674126)
Hair_graft_4_7	(1, 30.83724407596994)	(2, 31.226917028379184)	(3, 31.3644713865134)	(4, 31.458533854687524)	(5, 31.499191306258496)	(6, 34.71150372376435)	(7, 34.635975954437946)	(8, 34.78345169962115)	(9, 34.77505571643806)	(10, 34.689844859450794)	(11, 34.74046934347519)	(12, 34.698942310976996)	(13, 34.70915028081916)	(14, 34.67710539494573)	(15, 34.66434181538462)	(16, 34.67566568612983)	(17, 34.631848442761594)	(18, 34.59221072498065)	(19, 34.563413351086275)	(20, 34.56197534764451)	(21, 34.57329332951969)	(22, 34.51828723307364)	(23, 34.5078570583117)	(24, 34.509415796912535)	(25, 34.52289888447748)	(26, 34.385215903828836)																																
Hair_graft_4_8	(1, 27.44410196623775)	(2, 27.573742322552224)	(3, 27.300815898947203)	(4, 27.316306957963754)	(5, 27.096841401964625)	(6, 29.48662197946932)	(7, 29.410052226549787)	(8, 29.372725796997273)	(9, 29.34503438487235)	(10, 29.089109635358504)	(11, 29.138471209900594)	(12, 29.148389745777212)	(13, 28.98186579760801)	(14, 28.811559436205446)	(15, 28.823693919238064)	(16, 28.871177876863566)	(17, 28.75315066538103)	(18, 28.755359071585797)	(19, 28.69564366442053)	(20, 28.639567898698218)	(21, 28.63605466811261)	(22, 28.683280794486908)	(23, 28.58398408011933)	(24, 28.607699918744252)	(25, 28.513871593108817)	(26, 28.58012287327189)	(27, 28.811072312073232)	(28, 28.60537394831043)	(29, 28.61120459581274)	(30, 28.523236441969235)	(31, 28.484771621892335)	(32, 28.402859544693886)	(33, 28.35521834624435)	(34, 28.112423192214155)	(35, 28.179134870099254)	(36, 28.250046937758267)	(37, 28.250654876988968)	(38, 28.206917279921868)	(39, 28.1562793660762)	(40, 28.161400284829455)	(41, 28.127422996895525)	(42, 28.05305293678482)	(43, 28.02133987941193)	(44, 27.972817721992147)	(45, 28.00702153157412)	(46, 27.939086141165223)	(47, 27.58621212477306)	(48, 27.76902831139556)	(49, 27.839401241011412)	(50, 27.75967401453757)	(51, 27.869327572579525)	(52, 27.839296920078333)	(53, 27.848285280953192)	(54, 27.850880354095356)	(55, 27.88431410731845)	(56, 27.845354195814576)	(57, 27.870381147387437)	(58, 25.839358206961112)
Hair_graft_5_1	(1, 30.955861673957042)	(2, 31.270176849848834)	(3, 31.3998614846471)	(4, 31.482532629501268)	(5, 31.520262511062896)	(6, 34.653564668597916)	(7, 34.50816468154586)	(8, 34.63022103853224)	(9, 34.63884486188429)	(10, 34.51758164298017)	(11, 34.610290165041754)	(12, 34.59545921160847)	(13, 34.550903203249995)	(14, 34.53267163193607)	(15, 34.540752742501205)	(16, 34.518807593599114)	(17, 34.434972955832336)	(18, 34.410743718829636)	(19, 34.359213023695496)	(20, 34.332744264668186)	(21, 34.326405833415535)	(22, 34.30754899468597)	(23, 34.27775749335229)	(24, 34.290106131693754)	(25, 34.31538524112702)	(26, 34.14203917948715)																																
Hair_graft_5_2	(1, 27.92799504741263)	(2, 28.023675018344196)	(3, 27.978765127728213)	(4, 27.816024066294684)	(5, 27.689898120876393)	(6, 30.100419987325132)	(7, 29.958230771272323)	(8, 29.8518704942048)	(9, 29.790766741311646)	(10, 29.545183097537116)	(11, 29.568263971848353)	(12, 29.539254831430544)	(13, 29.383603841488362)	(14, 29.249812530998735)	(15, 29.210263571137197)	(16, 29.275692074341432)	(17, 29.14567605126464)	(18, 29.12660366920711)	(19, 29.07478191387441)	(20, 29.044716956325704)	(21, 28.989480680184172)	(22, 29.041985193937602)	(23, 29.00365827269867)	(24, 28.955433521298364)	(25, 28.92597825988573)	(26, 28.895784091398962)	(27, 28.959775146887793)	(28, 28.872541022651074)	(29, 28.8234077100999)	(30, 28.690946459190744)	(31, 28.598467536796928)	(32, 28.54587068842391)	(33, 28.470280717187055)	(34, 28.432808586325717)	(35, 28.40868560604724)	(36, 28.411615307779766)	(37, 28.373347565073757)	(38, 28.32359558180667)	(39, 28.31295353269378)	(40, 28.31614184806696)	(41, 28.261510320536708)	(42, 28.232932209245472)	(43, 28.18618910728397)	(44, 28.19153354628912)	(45, 28.134134549815897)	(46, 28.14239227551009)	(47, 28.128387156010874)	(48, 28.08152517921929)	(49, 28.09894830964172)	(50, 28.043853306426982)	(51, 28.076600531939455)	(52, 28.04857197942873)	(53, 27.98151777327327)	(54, 28.020726734629037)	(55, 28.019783694216276)	(56, 27.9694153797605)	(57, 27.949884028484856)	(58, 26.018856646965034)
