Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Hair_graft_4_1	(0.0, 36.0)	(1.0, 36.0)	(2.0, 114.0)	(3.0, 192.0)	(4.0, 192.0)	(5.0, 192.0)	(6.0, 517.0)	(7.0, 842.0)	(8.0, 842.0)	(9.0, 842.0)	(10.0, 1907.0)	(11.0, 2972.0)	(12.0, 2972.0)	(13.0, 4914.5)	(14.0, 6857.0)	(15.0, 6857.0)	(16.0, 6857.0)	(17.0, 11980.0)	(18.0, 17103.0)	(19.0, 17103.0)	(20.0, 17103.0)	(21.0, 45367.0)	(22.0, 73631.0)	(23.0, 73631.0)	(24.0, 73631.0)	(25.0, 205144.0)	(26.0, 336657.0)	(27.0, 336657.0)	(28.0, 336657.0)	(29.0, 734624.0)	(30.0, 1132591.0)	(31.0, 1132591.0)	(32.0, 1132591.0)	(33.0, 1961569.0)	(34.0, 2790547.0)	(35.0, 2790547.0)	(36.0, 2790547.0)	(37.0, 4040745.0)	(38.0, 5290943.0)	(39.0, 5290943.0)	(40.0, 6612996.0)	(41.0, 7935049.0)	(42.0, 7935049.0)	(43.0, 7935049.0)	(44.0, 8786752.0)	(45.0, 9638455.0)	(46.0, 9638455.0)	(47.0, 9638455.0)	(48.0, 9594358.0)	(49.0, 9550261.0)	(50.0, 9550261.0)	(51.0, 9550261.0)	(52.0, 8645852.5)	(53.0, 7741444.0)	(54.0, 7741444.0)	(55.0, 7741444.0)	(56.0, 6440773.0)	(57.0, 5140102.0)	(58.0, 5140102.0)	(59.0, 5140102.0)	(60.0, 3950258.5)	(61.0, 2760415.0)	(62.0, 2760415.0)	(63.0, 1973275.0)	(64.0, 1186135.0)	(65.0, 1186135.0)	(66.0, 1186135.0)	(67.0, 790926.0)	(68.0, 395717.0)	(69.0, 395717.0)	(70.0, 395717.0)	(71.0, 247391.0)	(72.0, 99065.0)	(73.0, 99065.0)	(74.0, 99065.0)	(75.0, 58699.0)	(76.0, 18333.0)	(77.0, 18333.0)	(78.0, 18333.0)	(79.0, 10660.0)	(80.0, 2987.0)	(81.0, 2987.0)	(82.0, 2987.0)	(83.0, 2035.5)	(84.0, 1084.0)	(85.0, 1084.0)	(86.0, 1084.0)	(87.0, 794.5)	(88.0, 505.0)	(89.0, 505.0)	(90.0, 335.0)	(91.0, 165.0)	(92.0, 165.0)	(93.0, 165.0)	(94.0, 211.5)	(95.0, 258.0)	(96.0, 258.0)	(97.0, 258.0)	(98.0, 1148.0)	(99.0, 2038.0)	(100.0, 2038.0)
Hair_graft_4_2	(0.0, 13003.0)	(1.0, 21289.5)	(2.0, 29576.0)	(3.0, 36860.5)	(4.0, 45190.0)	(5.0, 46235.0)	(6.0, 49572.5)	(7.0, 52910.0)	(8.0, 56390.5)	(9.0, 64547.0)	(10.0, 69223.0)	(11.0, 76095.0)	(12.0, 82967.0)	(13.0, 90873.0)	(14.0, 98779.0)	(15.0, 110513.5)	(16.0, 138479.0)	(17.0, 154710.0)	(18.0, 181583.0)	(19.0, 208456.0)	(20.0, 246875.0)	(21.0, 285294.0)	(22.0, 337313.5)	(23.0, 455159.5)	(24.0, 520986.0)	(25.0, 608457.0)	(26.0, 695928.0)	(27.0, 754034.5)	(28.0, 916885.0)	(29.0, 1021629.0)	(30.0, 1119187.5)	(31.0, 1216746.0)	(32.0, 1312984.0)	(33.0, 1409222.0)	(34.0, 1546658.5)	(35.0, 1838867.5)	(36.0, 1993640.0)	(37.0, 2132501.5)	(38.0, 2271363.0)	(39.0, 2380186.0)	(40.0, 2489009.0)	(41.0, 2561399.5)	(42.0, 2664872.0)	(43.0, 2695954.0)	(44.0, 2691878.0)	(45.0, 2687802.0)	(46.0, 2714989.0)	(47.0, 2714113.0)	(48.0, 2686050.0)	(49.0, 2669396.5)	(50.0, 2652743.0)	(51.0, 2631122.0)	(52.0, 2609501.0)	(53.0, 2531802.5)	(54.0, 2405456.5)	(55.0, 2356809.0)	(56.0, 2301753.5)	(57.0, 2246698.0)	(58.0, 2179582.0)	(59.0, 1992137.5)	(60.0, 1871809.0)	(61.0, 1753670.0)	(62.0, 1635531.0)	(63.0, 1531941.0)	(64.0, 1428351.0)	(65.0, 1315891.5)	(66.0, 1083521.5)	(67.0, 963611.0)	(68.0, 858966.0)	(69.0, 754321.0)	(70.0, 644883.0)	(71.0, 535445.0)	(72.0, 462961.0)	(73.0, 333011.5)	(74.0, 275546.0)	(75.0, 246396.0)	(76.0, 217246.0)	(77.0, 194172.5)	(78.0, 148040.0)	(79.0, 124981.0)	(80.0, 110640.5)	(81.0, 96300.0)	(82.0, 88637.5)	(83.0, 80975.0)	(84.0, 76018.0)	(85.0, 67396.0)	(86.0, 63731.0)	(87.0, 61026.0)	(88.0, 58321.0)	(89.0, 57142.0)	(90.0, 55963.0)	(91.0, 54908.5)	(92.0, 53738.0)	(93.0, 53622.0)	(94.0, 54372.5)	(95.0, 55123.0)	(96.0, 57615.5)	(97.0, 67902.0)	(98.0, 75696.0)	(99.0, 126937.5)	(100.0, 178179.0)
Hair_graft_4_3	(0.0, 45.0)	(1.0, 45.0)	(2.0, 114.0)	(3.0, 183.0)	(4.0, 183.0)	(5.0, 183.0)	(6.0, 504.5)	(7.0, 826.0)	(8.0, 826.0)	(9.0, 826.0)	(10.0, 1804.0)	(11.0, 2782.0)	(12.0, 2782.0)	(13.0, 4574.5)	(14.0, 6367.0)	(15.0, 6367.0)	(16.0, 6367.0)	(17.0, 11255.0)	(18.0, 16143.0)	(19.0, 16143.0)	(20.0, 16143.0)	(21.0, 43731.5)	(22.0, 71320.0)	(23.0, 71320.0)	(24.0, 71320.0)	(25.0, 201009.5)	(26.0, 330699.0)	(27.0, 330699.0)	(28.0, 330699.0)	(29.0, 723024.5)	(30.0, 1115350.0)	(31.0, 1115350.0)	(32.0, 1115350.0)	(33.0, 1934473.0)	(34.0, 2753596.0)	(35.0, 2753596.0)	(36.0, 2753596.0)	(37.0, 3991176.0)	(38.0, 5228756.0)	(39.0, 5228756.0)	(40.0, 6536761.5)	(41.0, 7844767.0)	(42.0, 7844767.0)	(43.0, 7844767.0)	(44.0, 8688892.5)	(45.0, 9533018.0)	(46.0, 9533018.0)	(47.0, 9533018.0)	(48.0, 9491315.5)	(49.0, 9449613.0)	(50.0, 9449613.0)	(51.0, 9449613.0)	(52.0, 8563522.0)	(53.0, 7677431.0)	(54.0, 7677431.0)	(55.0, 7677431.0)	(56.0, 6384774.0)	(57.0, 5092117.0)	(58.0, 5092117.0)	(59.0, 5092117.0)	(60.0, 3912715.0)	(61.0, 2733313.0)	(62.0, 2733313.0)	(63.0, 1954382.0)	(64.0, 1175451.0)	(65.0, 1175451.0)	(66.0, 1175451.0)	(67.0, 783724.5)	(68.0, 391998.0)	(69.0, 391998.0)	(70.0, 391998.0)	(71.0, 245008.5)	(72.0, 98019.0)	(73.0, 98019.0)	(74.0, 98019.0)	(75.0, 58157.0)	(76.0, 18295.0)	(77.0, 18295.0)	(78.0, 18295.0)	(79.0, 10598.5)	(80.0, 2902.0)	(81.0, 2902.0)	(82.0, 2902.0)	(83.0, 1846.5)	(84.0, 791.0)	(85.0, 791.0)	(86.0, 791.0)	(87.0, 548.0)	(88.0, 305.0)	(89.0, 305.0)	(90.0, 233.0)	(91.0, 161.0)	(92.0, 161.0)	(93.0, 161.0)	(94.0, 256.5)	(95.0, 352.0)	(96.0, 352.0)	(97.0, 352.0)	(98.0, 3273.0)	(99.0, 6194.0)	(100.0, 6194.0)
Hair_graft_4_4	(0.0, 13158.0)	(1.0, 21438.5)	(2.0, 29719.0)	(3.0, 36599.5)	(4.0, 44871.5)	(5.0, 46263.0)	(6.0, 48870.0)	(7.0, 51477.0)	(8.0, 54490.0)	(9.0, 61696.5)	(10.0, 65890.0)	(11.0, 71856.0)	(12.0, 77822.0)	(13.0, 85595.5)	(14.0, 93369.0)	(15.0, 104848.5)	(16.0, 132440.0)	(17.0, 148552.0)	(18.0, 174794.0)	(19.0, 201036.0)	(20.0, 238710.5)	(21.0, 276385.0)	(22.0, 327770.0)	(23.0, 443830.0)	(24.0, 508505.0)	(25.0, 595339.0)	(26.0, 682173.0)	(27.0, 738933.5)	(28.0, 899912.5)	(29.0, 1004131.0)	(30.0, 1100508.0)	(31.0, 1196885.0)	(32.0, 1291517.0)	(33.0, 1386149.0)	(34.0, 1521124.5)	(35.0, 1810342.0)	(36.0, 1964584.0)	(37.0, 2103578.0)	(38.0, 2242572.0)	(39.0, 2351174.0)	(40.0, 2459776.0)	(41.0, 2532786.5)	(42.0, 2637855.5)	(43.0, 2669914.0)	(44.0, 2663772.0)	(45.0, 2657630.0)	(46.0, 2687432.5)	(47.0, 2688839.0)	(48.0, 2660443.0)	(49.0, 2647748.5)	(50.0, 2635054.0)	(51.0, 2617625.0)	(52.0, 2600196.0)	(53.0, 2519938.5)	(54.0, 2397207.0)	(55.0, 2354733.0)	(56.0, 2301725.5)	(57.0, 2248718.0)	(58.0, 2184579.0)	(59.0, 1993856.0)	(60.0, 1867272.0)	(61.0, 1750792.0)	(62.0, 1634312.0)	(63.0, 1527535.5)	(64.0, 1420759.0)	(65.0, 1309644.0)	(66.0, 1077810.5)	(67.0, 957092.0)	(68.0, 850184.0)	(69.0, 743276.0)	(70.0, 635323.5)	(71.0, 527371.0)	(72.0, 455515.5)	(73.0, 325933.5)	(74.0, 268207.0)	(75.0, 240351.0)	(76.0, 212495.0)	(77.0, 190091.5)	(78.0, 143975.0)	(79.0, 120262.0)	(80.0, 106549.0)	(81.0, 92836.0)	(82.0, 85840.0)	(83.0, 78844.0)	(84.0, 73715.0)	(85.0, 64564.0)	(86.0, 60542.0)	(87.0, 58296.0)	(88.0, 56050.0)	(89.0, 54544.5)	(90.0, 53039.0)	(91.0, 52147.0)	(92.0, 50914.0)	(93.0, 50573.0)	(94.0, 51121.5)	(95.0, 51670.0)	(96.0, 53619.0)	(97.0, 61798.5)	(98.0, 68029.0)	(99.0, 112180.5)	(100.0, 156332.0)
Hair_graft_4_5	(0.0, 45.0)	(1.0, 45.0)	(2.0, 90.0)	(3.0, 135.0)	(4.0, 135.0)	(5.0, 135.0)	(6.0, 339.5)	(7.0, 544.0)	(8.0, 544.0)	(9.0, 544.0)	(10.0, 1169.0)	(11.0, 1794.0)	(12.0, 1794.0)	(13.0, 3027.0)	(14.0, 4260.0)	(15.0, 4260.0)	(16.0, 4260.0)	(17.0, 7540.0)	(18.0, 10820.0)	(19.0, 10820.0)	(20.0, 10820.0)	(21.0, 29892.0)	(22.0, 48964.0)	(23.0, 48964.0)	(24.0, 48964.0)	(25.0, 140528.5)	(26.0, 232093.0)	(27.0, 232093.0)	(28.0, 232093.0)	(29.0, 511226.0)	(30.0, 790359.0)	(31.0, 790359.0)	(32.0, 790359.0)	(33.0, 1377605.5)	(34.0, 1964852.0)	(35.0, 1964852.0)	(36.0, 1964852.0)	(37.0, 2856426.5)	(38.0, 3748001.0)	(39.0, 3748001.0)	(40.0, 4699781.0)	(41.0, 5651561.0)	(42.0, 5651561.0)	(43.0, 5651561.0)	(44.0, 6271875.5)	(45.0, 6892190.0)	(46.0, 6892190.0)	(47.0, 6892190.0)	(48.0, 6874842.5)	(49.0, 6857495.0)	(50.0, 6857495.0)	(51.0, 6857495.0)	(52.0, 6216499.5)	(53.0, 5575504.0)	(54.0, 5575504.0)	(55.0, 5575504.0)	(56.0, 4643251.0)	(57.0, 3710998.0)	(58.0, 3710998.0)	(59.0, 3710998.0)	(60.0, 2851903.5)	(61.0, 1992809.0)	(62.0, 1992809.0)	(63.0, 1424720.5)	(64.0, 856632.0)	(65.0, 856632.0)	(66.0, 856632.0)	(67.0, 569962.0)	(68.0, 283292.0)	(69.0, 283292.0)	(70.0, 283292.0)	(71.0, 176752.0)	(72.0, 70212.0)	(73.0, 70212.0)	(74.0, 70212.0)	(75.0, 41469.5)	(76.0, 12727.0)	(77.0, 12727.0)	(78.0, 12727.0)	(79.0, 7349.0)	(80.0, 1971.0)	(81.0, 1971.0)	(82.0, 1971.0)	(83.0, 1305.0)	(84.0, 639.0)	(85.0, 639.0)	(86.0, 639.0)	(87.0, 459.5)	(88.0, 280.0)	(89.0, 280.0)	(90.0, 189.5)	(91.0, 99.0)	(92.0, 99.0)	(93.0, 99.0)	(94.0, 152.5)	(95.0, 206.0)	(96.0, 206.0)	(97.0, 206.0)	(98.0, 618.5)	(99.0, 1031.0)	(100.0, 1031.0)
Hair_graft_4_6	(0.0, 7291.0)	(1.0, 13398.5)	(2.0, 19506.0)	(3.0, 24013.5)	(4.0, 29262.5)	(5.0, 30004.0)	(6.0, 31416.0)	(7.0, 32828.0)	(8.0, 34102.5)	(9.0, 37527.0)	(10.0, 39677.0)	(11.0, 43135.5)	(12.0, 46594.0)	(13.0, 50352.5)	(14.0, 54111.0)	(15.0, 60488.0)	(16.0, 76922.5)	(17.0, 86980.0)	(18.0, 104023.0)	(19.0, 121066.0)	(20.0, 145863.0)	(21.0, 170660.0)	(22.0, 205706.0)	(23.0, 284614.0)	(24.0, 328476.0)	(25.0, 389830.5)	(26.0, 451185.0)	(27.0, 486019.0)	(28.0, 596665.5)	(29.0, 672478.0)	(30.0, 738396.5)	(31.0, 804315.0)	(32.0, 870360.5)	(33.0, 936406.0)	(34.0, 1034735.0)	(35.0, 1248026.5)	(36.0, 1362989.0)	(37.0, 1470939.5)	(38.0, 1578890.0)	(39.0, 1663867.5)	(40.0, 1748845.0)	(41.0, 1805174.5)	(42.0, 1890334.5)	(43.0, 1919165.0)	(44.0, 1915193.5)	(45.0, 1911222.0)	(46.0, 1943568.0)	(47.0, 1959326.5)	(48.0, 1942739.0)	(49.0, 1944689.5)	(50.0, 1946640.0)	(51.0, 1943886.0)	(52.0, 1941132.0)	(53.0, 1880084.0)	(54.0, 1794623.0)	(55.0, 1770210.0)	(56.0, 1738751.0)	(57.0, 1707292.0)	(58.0, 1663974.0)	(59.0, 1518743.5)	(60.0, 1416831.0)	(61.0, 1325825.0)	(62.0, 1234819.0)	(63.0, 1156727.5)	(64.0, 1078636.0)	(65.0, 993607.5)	(66.0, 815697.0)	(67.0, 722815.0)	(68.0, 640559.5)	(69.0, 558304.0)	(70.0, 472312.0)	(71.0, 386320.0)	(72.0, 331372.5)	(73.0, 233160.5)	(74.0, 189896.0)	(75.0, 170817.5)	(76.0, 151739.0)	(77.0, 135395.0)	(78.0, 101260.0)	(79.0, 83469.0)	(80.0, 73801.5)	(81.0, 64134.0)	(82.0, 59527.5)	(83.0, 54921.0)	(84.0, 51664.0)	(85.0, 45665.5)	(86.0, 42924.0)	(87.0, 41475.0)	(88.0, 40026.0)	(89.0, 39044.5)	(90.0, 38063.0)	(91.0, 37619.5)	(92.0, 37213.5)	(93.0, 37251.0)	(94.0, 37892.5)	(95.0, 38534.0)	(96.0, 40479.0)	(97.0, 48507.0)	(98.0, 54590.0)	(99.0, 102763.0)	(100.0, 150936.0)
Hair_graft_4_7	(0.0, 35.0)	(1.0, 35.0)	(2.0, 92.5)	(3.0, 150.0)	(4.0, 150.0)	(5.0, 150.0)	(6.0, 405.5)	(7.0, 661.0)	(8.0, 661.0)	(9.0, 661.0)	(10.0, 1435.0)	(11.0, 2209.0)	(12.0, 2209.0)	(13.0, 3590.5)	(14.0, 4972.0)	(15.0, 4972.0)	(16.0, 4972.0)	(17.0, 8243.5)	(18.0, 11515.0)	(19.0, 11515.0)	(20.0, 11515.0)	(21.0, 30653.5)	(22.0, 49792.0)	(23.0, 49792.0)	(24.0, 49792.0)	(25.0, 140068.0)	(26.0, 230344.0)	(27.0, 230344.0)	(28.0, 230344.0)	(29.0, 504033.0)	(30.0, 777722.0)	(31.0, 777722.0)	(32.0, 777722.0)	(33.0, 1353082.5)	(34.0, 1928443.0)	(35.0, 1928443.0)	(36.0, 1928443.0)	(37.0, 2795806.5)	(38.0, 3663170.0)	(39.0, 3663170.0)	(40.0, 4580240.5)	(41.0, 5497311.0)	(42.0, 5497311.0)	(43.0, 5497311.0)	(44.0, 6094377.5)	(45.0, 6691444.0)	(46.0, 6691444.0)	(47.0, 6691444.0)	(48.0, 6662572.0)	(49.0, 6633700.0)	(50.0, 6633700.0)	(51.0, 6633700.0)	(52.0, 6006403.5)	(53.0, 5379107.0)	(54.0, 5379107.0)	(55.0, 5379107.0)	(56.0, 4473195.0)	(57.0, 3567283.0)	(58.0, 3567283.0)	(59.0, 3567283.0)	(60.0, 2739702.0)	(61.0, 1912121.0)	(62.0, 1912121.0)	(63.0, 1366606.5)	(64.0, 821092.0)	(65.0, 821092.0)	(66.0, 821092.0)	(67.0, 546345.0)	(68.0, 271598.0)	(69.0, 271598.0)	(70.0, 271598.0)	(71.0, 169889.5)	(72.0, 68181.0)	(73.0, 68181.0)	(74.0, 68181.0)	(75.0, 40226.0)	(76.0, 12271.0)	(77.0, 12271.0)	(78.0, 12271.0)	(79.0, 7093.0)	(80.0, 1915.0)	(81.0, 1915.0)	(82.0, 1915.0)	(83.0, 1175.5)	(84.0, 436.0)	(85.0, 436.0)	(86.0, 436.0)	(87.0, 310.5)	(88.0, 185.0)	(89.0, 185.0)	(90.0, 146.0)	(91.0, 107.0)	(92.0, 107.0)	(93.0, 107.0)	(94.0, 142.0)	(95.0, 177.0)	(96.0, 177.0)	(97.0, 177.0)	(98.0, 1329.0)	(99.0, 2481.0)	(100.0, 2481.0)
Hair_graft_4_8	(0.0, 7061.0)	(1.0, 13441.0)	(2.0, 19821.0)	(3.0, 24690.5)	(4.0, 30631.0)	(5.0, 31702.0)	(6.0, 33600.0)	(7.0, 35498.0)	(8.0, 37876.5)	(9.0, 43635.5)	(10.0, 47016.0)	(11.0, 51613.5)	(12.0, 56211.0)	(13.0, 62017.5)	(14.0, 67824.0)	(15.0, 75960.0)	(16.0, 95607.5)	(17.0, 107119.0)	(18.0, 126494.0)	(19.0, 145869.0)	(20.0, 171885.0)	(21.0, 197901.0)	(22.0, 234127.5)	(23.0, 315177.5)	(24.0, 360001.0)	(25.0, 419800.5)	(26.0, 479600.0)	(27.0, 520626.0)	(28.0, 633913.5)	(29.0, 706175.0)	(30.0, 773082.0)	(31.0, 839989.0)	(32.0, 906721.5)	(33.0, 973454.0)	(34.0, 1067151.5)	(35.0, 1266002.5)	(36.0, 1371156.0)	(37.0, 1464475.5)	(38.0, 1557795.0)	(39.0, 1632198.5)	(40.0, 1706602.0)	(41.0, 1755757.5)	(42.0, 1826913.5)	(43.0, 1848914.0)	(44.0, 1847011.0)	(45.0, 1845108.0)	(46.0, 1866536.0)	(47.0, 1867647.5)	(48.0, 1847331.0)	(49.0, 1837307.0)	(50.0, 1827283.0)	(51.0, 1814401.5)	(52.0, 1801520.0)	(53.0, 1747475.0)	(54.0, 1664328.0)	(55.0, 1635226.0)	(56.0, 1598739.5)	(57.0, 1562253.0)	(58.0, 1516786.5)	(59.0, 1387014.0)	(60.0, 1302708.0)	(61.0, 1223885.5)	(62.0, 1145063.0)	(63.0, 1072189.0)	(64.0, 999315.0)	(65.0, 921454.5)	(66.0, 761173.5)	(67.0, 678753.0)	(68.0, 605946.5)	(69.0, 533140.0)	(70.0, 456881.5)	(71.0, 380623.0)	(72.0, 330076.0)	(73.0, 239335.0)	(74.0, 199141.0)	(75.0, 178473.0)	(76.0, 157805.0)	(77.0, 141644.0)	(78.0, 109126.5)	(79.0, 92770.0)	(80.0, 82577.5)	(81.0, 72385.0)	(82.0, 67119.5)	(83.0, 61854.0)	(84.0, 58383.5)	(85.0, 51916.0)	(86.0, 48919.0)	(87.0, 47153.0)	(88.0, 45387.0)	(89.0, 44370.5)	(90.0, 43354.0)	(91.0, 43226.5)	(92.0, 42828.5)	(93.0, 42558.0)	(94.0, 43378.5)	(95.0, 44199.0)	(96.0, 46440.5)	(97.0, 54966.0)	(98.0, 61250.0)	(99.0, 101163.0)	(100.0, 141076.0)
Hair_graft_5_1	(0.0, 24.0)	(1.0, 24.0)	(2.0, 103.5)	(3.0, 183.0)	(4.0, 183.0)	(5.0, 183.0)	(6.0, 540.5)	(7.0, 898.0)	(8.0, 898.0)	(9.0, 898.0)	(10.0, 2007.5)	(11.0, 3117.0)	(12.0, 3117.0)	(13.0, 4997.0)	(14.0, 6877.0)	(15.0, 6877.0)	(16.0, 6877.0)	(17.0, 12166.5)	(18.0, 17456.0)	(19.0, 17456.0)	(20.0, 17456.0)	(21.0, 46105.5)	(22.0, 74755.0)	(23.0, 74755.0)	(24.0, 74755.0)	(25.0, 207467.0)	(26.0, 340179.0)	(27.0, 340179.0)	(28.0, 340179.0)	(29.0, 737937.5)	(30.0, 1135696.0)	(31.0, 1135696.0)	(32.0, 1135696.0)	(33.0, 1964584.0)	(34.0, 2793472.0)	(35.0, 2793472.0)	(36.0, 2793472.0)	(37.0, 4025916.5)	(38.0, 5258361.0)	(39.0, 5258361.0)	(40.0, 6535328.5)	(41.0, 7812296.0)	(42.0, 7812296.0)	(43.0, 7812296.0)	(44.0, 8594755.5)	(45.0, 9377215.0)	(46.0, 9377215.0)	(47.0, 9377215.0)	(48.0, 9260527.5)	(49.0, 9143840.0)	(50.0, 9143840.0)	(51.0, 9143840.0)	(52.0, 8226844.5)	(53.0, 7309849.0)	(54.0, 7309849.0)	(55.0, 7309849.0)	(56.0, 6041025.0)	(57.0, 4772201.0)	(58.0, 4772201.0)	(59.0, 4772201.0)	(60.0, 3655431.0)	(61.0, 2538661.0)	(62.0, 2538661.0)	(63.0, 1811078.0)	(64.0, 1083495.0)	(65.0, 1083495.0)	(66.0, 1083495.0)	(67.0, 723957.0)	(68.0, 364419.0)	(69.0, 364419.0)	(70.0, 364419.0)	(71.0, 227785.5)	(72.0, 91152.0)	(73.0, 91152.0)	(74.0, 91152.0)	(75.0, 54153.0)	(76.0, 17154.0)	(77.0, 17154.0)	(78.0, 17154.0)	(79.0, 9883.0)	(80.0, 2612.0)	(81.0, 2612.0)	(82.0, 2612.0)	(83.0, 1842.5)	(84.0, 1073.0)	(85.0, 1073.0)	(86.0, 1073.0)	(87.0, 761.5)	(88.0, 450.0)	(89.0, 450.0)	(90.0, 294.0)	(91.0, 138.0)	(92.0, 138.0)	(93.0, 138.0)	(94.0, 197.5)	(95.0, 257.0)	(96.0, 257.0)	(97.0, 257.0)	(98.0, 857.5)	(99.0, 1458.0)	(100.0, 1458.0)
Hair_graft_5_2	(0.0, 10828.0)	(1.0, 18604.0)	(2.0, 26380.0)	(3.0, 32722.5)	(4.0, 40555.0)	(5.0, 42045.0)	(6.0, 44968.5)	(7.0, 47892.0)	(8.0, 51078.5)	(9.0, 59042.5)	(10.0, 63820.0)	(11.0, 69670.5)	(12.0, 75521.0)	(13.0, 82883.0)	(14.0, 90245.0)	(15.0, 100417.0)	(16.0, 126119.0)	(17.0, 141649.0)	(18.0, 165527.0)	(19.0, 189405.0)	(20.0, 223445.5)	(21.0, 257486.0)	(22.0, 301403.0)	(23.0, 399187.0)	(24.0, 453054.0)	(25.0, 523339.5)	(26.0, 593625.0)	(27.0, 645353.5)	(28.0, 796731.0)	(29.0, 896380.0)	(30.0, 983769.5)	(31.0, 1071159.0)	(32.0, 1153046.0)	(33.0, 1234933.0)	(34.0, 1362172.5)	(35.0, 1645262.5)	(36.0, 1801113.0)	(37.0, 1934834.5)	(38.0, 2068556.0)	(39.0, 2183974.5)	(40.0, 2299393.0)	(41.0, 2397191.0)	(42.0, 2541283.0)	(43.0, 2587577.0)	(44.0, 2596023.0)	(45.0, 2604469.0)	(46.0, 2631139.5)	(47.0, 2625601.0)	(48.0, 2593392.0)	(49.0, 2579889.5)	(50.0, 2566387.0)	(51.0, 2564110.0)	(52.0, 2561833.0)	(53.0, 2474471.0)	(54.0, 2340277.0)	(55.0, 2293445.0)	(56.0, 2239875.0)	(57.0, 2186305.0)	(58.0, 2131940.0)	(59.0, 1969960.0)	(60.0, 1862345.0)	(61.0, 1765100.0)	(62.0, 1667855.0)	(63.0, 1588963.5)	(64.0, 1510072.0)	(65.0, 1397093.0)	(66.0, 1160959.5)	(67.0, 1037805.0)	(68.0, 931109.5)	(69.0, 824414.0)	(70.0, 695655.5)	(71.0, 566897.0)	(72.0, 488878.5)	(73.0, 348580.5)	(74.0, 286301.0)	(75.0, 263337.0)	(76.0, 240373.0)	(77.0, 214728.5)	(78.0, 162603.5)	(79.0, 136123.0)	(80.0, 119272.0)	(81.0, 102421.0)	(82.0, 94584.5)	(83.0, 86748.0)	(84.0, 81762.0)	(85.0, 73285.5)	(86.0, 69795.0)	(87.0, 67861.0)	(88.0, 65927.0)	(89.0, 64435.5)	(90.0, 62944.0)	(91.0, 62270.0)	(92.0, 61675.5)	(93.0, 61755.0)	(94.0, 62704.5)	(95.0, 63654.0)	(96.0, 66671.5)	(97.0, 78978.5)	(98.0, 88268.0)	(99.0, 149816.0)	(100.0, 211364.0)
