Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
Hair_graft_4_1	(16.0, 2.0)	(17.0, 6.0)	(18.0, 57.0)	(19.0, 341.0)	(20.0, 1194.0)	(21.0, 3971.0)	(22.0, 9782.0)	(23.0, 22329.0)	(24.0, 47356.0)	(25.0, 98646.0)	(26.0, 198531.0)	(27.0, 385277.0)	(28.0, 699125.0)	(29.0, 1186873.0)	(30.0, 1912460.0)	(31.0, 3015269.0)	(32.0, 4863985.0)	(33.0, 8449860.0)	(34.0, 16634866.0)	(35.0, 16594454.0)														
Hair_graft_4_2	(2.0, 3272.0)	(3.0, 919.0)	(4.0, 931.0)	(5.0, 982.0)	(6.0, 883.0)	(7.0, 955.0)	(8.0, 1260.0)	(9.0, 1537.0)	(10.0, 2069.0)	(11.0, 2429.0)	(12.0, 2756.0)	(13.0, 2892.0)	(14.0, 78181.0)	(15.0, 274614.0)	(16.0, 483796.0)	(17.0, 661271.0)	(18.0, 828016.0)	(19.0, 1005892.0)	(20.0, 1189837.0)	(21.0, 1374989.0)	(22.0, 1576110.0)	(23.0, 1825112.0)	(24.0, 2144227.0)	(25.0, 2541634.0)	(26.0, 3013115.0)	(27.0, 3552807.0)	(28.0, 4143275.0)	(29.0, 4761420.0)	(30.0, 5350892.0)	(31.0, 5767021.0)	(32.0, 5735882.0)	(33.0, 4799337.0)	(34.0, 2616409.0)	(35.0, 379662.0)
Hair_graft_4_3	(17.0, 6.0)	(18.0, 45.0)	(19.0, 302.0)	(20.0, 1051.0)	(21.0, 3411.0)	(22.0, 8993.0)	(23.0, 20640.0)	(24.0, 44669.0)	(25.0, 93367.0)	(26.0, 188339.0)	(27.0, 363600.0)	(28.0, 659757.0)	(29.0, 1116573.0)	(30.0, 1792571.0)	(31.0, 2823882.0)	(32.0, 4586072.0)	(33.0, 8144515.0)	(34.0, 16643824.0)	(35.0, 17059177.0)															
Hair_graft_4_4	(2.0, 2912.0)	(3.0, 961.0)	(4.0, 859.0)	(5.0, 796.0)	(6.0, 1046.0)	(7.0, 952.0)	(8.0, 1222.0)	(9.0, 1511.0)	(10.0, 1953.0)	(11.0, 2550.0)	(12.0, 2706.0)	(13.0, 2712.0)	(14.0, 74219.0)	(15.0, 268498.0)	(16.0, 483176.0)	(17.0, 658811.0)	(18.0, 810818.0)	(19.0, 971191.0)	(20.0, 1137643.0)	(21.0, 1311081.0)	(22.0, 1502240.0)	(23.0, 1739592.0)	(24.0, 2030118.0)	(25.0, 2373562.0)	(26.0, 2765627.0)	(27.0, 3189186.0)	(28.0, 3639223.0)	(29.0, 4119807.0)	(30.0, 4630333.0)	(31.0, 5159238.0)	(32.0, 5615058.0)	(33.0, 5663327.0)	(34.0, 4327105.0)	(35.0, 1060761.0)
Hair_graft_4_5	(16.0, 1.0)	(17.0, 5.0)	(18.0, 33.0)	(19.0, 170.0)	(20.0, 631.0)	(21.0, 1843.0)	(22.0, 4888.0)	(23.0, 11305.0)	(24.0, 24525.0)	(25.0, 52072.0)	(26.0, 106256.0)	(27.0, 204524.0)	(28.0, 367351.0)	(29.0, 612720.0)	(30.0, 972559.0)	(31.0, 1536077.0)	(32.0, 2566384.0)	(33.0, 4922669.0)	(34.0, 11792069.0)	(35.0, 15533431.0)														
Hair_graft_4_6	(2.0, 4.0)	(3.0, 33.0)	(4.0, 46.0)	(5.0, 89.0)	(6.0, 129.0)	(7.0, 203.0)	(8.0, 311.0)	(9.0, 469.0)	(10.0, 592.0)	(11.0, 767.0)	(12.0, 876.0)	(13.0, 1121.0)	(14.0, 63487.0)	(15.0, 191442.0)	(16.0, 307582.0)	(17.0, 384896.0)	(18.0, 439048.0)	(19.0, 489946.0)	(20.0, 540918.0)	(21.0, 595046.0)	(22.0, 664025.0)	(23.0, 764046.0)	(24.0, 898177.0)	(25.0, 1082269.0)	(26.0, 1313534.0)	(27.0, 1612725.0)	(28.0, 1990666.0)	(29.0, 2483393.0)	(30.0, 3140188.0)	(31.0, 4003156.0)	(32.0, 5057588.0)	(33.0, 5965772.0)	(34.0, 5280447.0)	(35.0, 1436522.0)
Hair_graft_4_7	(17.0, 5.0)	(18.0, 37.0)	(19.0, 206.0)	(20.0, 721.0)	(21.0, 2239.0)	(22.0, 5546.0)	(23.0, 12610.0)	(24.0, 26100.0)	(25.0, 54361.0)	(26.0, 108965.0)	(27.0, 211598.0)	(28.0, 386063.0)	(29.0, 657775.0)	(30.0, 1065543.0)	(31.0, 1711904.0)	(32.0, 2848957.0)	(33.0, 5286345.0)	(34.0, 11686255.0)	(35.0, 13463192.0)															
Hair_graft_4_8	(2.0, 63.0)	(3.0, 112.0)	(4.0, 117.0)	(5.0, 159.0)	(6.0, 286.0)	(7.0, 379.0)	(8.0, 595.0)	(9.0, 745.0)	(10.0, 1050.0)	(11.0, 1135.0)	(12.0, 1282.0)	(13.0, 1403.0)	(14.0, 72171.0)	(15.0, 226124.0)	(16.0, 375708.0)	(17.0, 511086.0)	(18.0, 648641.0)	(19.0, 802202.0)	(20.0, 957708.0)	(21.0, 1104994.0)	(22.0, 1254523.0)	(23.0, 1427193.0)	(24.0, 1625526.0)	(25.0, 1853002.0)	(26.0, 2097317.0)	(27.0, 2359554.0)	(28.0, 2637879.0)	(29.0, 2931460.0)	(30.0, 3231612.0)	(31.0, 3509570.0)	(32.0, 3668690.0)	(33.0, 3446355.0)	(34.0, 2317224.0)	(35.0, 462557.0)
Hair_graft_5_1	(17.0, 11.0)	(18.0, 67.0)	(19.0, 363.0)	(20.0, 1213.0)	(21.0, 3581.0)	(22.0, 9284.0)	(23.0, 20863.0)	(24.0, 43416.0)	(25.0, 90394.0)	(26.0, 181063.0)	(27.0, 348089.0)	(28.0, 627657.0)	(29.0, 1060473.0)	(30.0, 1707564.0)	(31.0, 2695158.0)	(32.0, 4399041.0)	(33.0, 7866988.0)	(34.0, 16187324.0)	(35.0, 16904739.0)															
Hair_graft_5_2	(2.0, 3148.0)	(3.0, 863.0)	(4.0, 883.0)	(5.0, 983.0)	(6.0, 793.0)	(7.0, 961.0)	(8.0, 1306.0)	(9.0, 1634.0)	(10.0, 1979.0)	(11.0, 2283.0)	(12.0, 2502.0)	(13.0, 2780.0)	(14.0, 85644.0)	(15.0, 300548.0)	(16.0, 526772.0)	(17.0, 709083.0)	(18.0, 858716.0)	(19.0, 1005997.0)	(20.0, 1146514.0)	(21.0, 1278963.0)	(22.0, 1423980.0)	(23.0, 1623498.0)	(24.0, 1892778.0)	(25.0, 2246390.0)	(26.0, 2681412.0)	(27.0, 3195598.0)	(28.0, 3792464.0)	(29.0, 4446957.0)	(30.0, 5126674.0)	(31.0, 5679672.0)	(32.0, 5826226.0)	(33.0, 5036354.0)	(34.0, 2824994.0)	(35.0, 417939.0)
Hair_graft_5_3	(17.0, 7.0)	(18.0, 46.0)	(19.0, 302.0)	(20.0, 1036.0)	(21.0, 3242.0)	(22.0, 8216.0)	(23.0, 19043.0)	(24.0, 41125.0)	(25.0, 85367.0)	(26.0, 172319.0)	(27.0, 331478.0)	(28.0, 598099.0)	(29.0, 1007329.0)	(30.0, 1610796.0)	(31.0, 2532764.0)	(32.0, 4141346.0)	(33.0, 7531727.0)	(34.0, 16097959.0)	(35.0, 17345544.0)															
Hair_graft_5_4	(2.0, 2720.0)	(3.0, 950.0)	(4.0, 807.0)	(5.0, 764.0)	(6.0, 941.0)	(7.0, 933.0)	(8.0, 1159.0)	(9.0, 1526.0)	(10.0, 1959.0)	(11.0, 2376.0)	(12.0, 2520.0)	(13.0, 2557.0)	(14.0, 80540.0)	(15.0, 293431.0)	(16.0, 526712.0)	(17.0, 708345.0)	(18.0, 850697.0)	(19.0, 984550.0)	(20.0, 1113085.0)	(21.0, 1238207.0)	(22.0, 1381857.0)	(23.0, 1575194.0)	(24.0, 1827335.0)	(25.0, 2139114.0)	(26.0, 2499355.0)	(27.0, 2901534.0)	(28.0, 3342606.0)	(29.0, 3819545.0)	(30.0, 4356877.0)	(31.0, 4933414.0)	(32.0, 5498340.0)	(33.0, 5728881.0)	(34.0, 4553842.0)	(35.0, 1155072.0)
Hair_graft_5_5	(16.0, 1.0)	(17.0, 2.0)	(18.0, 28.0)	(19.0, 147.0)	(20.0, 585.0)	(21.0, 1803.0)	(22.0, 4538.0)	(23.0, 10522.0)	(24.0, 22791.0)	(25.0, 47847.0)	(26.0, 97052.0)	(27.0, 186358.0)	(28.0, 329386.0)	(29.0, 542998.0)	(30.0, 854022.0)	(31.0, 1337081.0)	(32.0, 2238950.0)	(33.0, 4407667.0)	(34.0, 11178359.0)	(35.0, 15716910.0)														
Hair_graft_5_6	(2.0, 2.0)	(3.0, 26.0)	(4.0, 57.0)	(5.0, 62.0)	(6.0, 140.0)	(7.0, 225.0)	(8.0, 379.0)	(9.0, 478.0)	(10.0, 615.0)	(11.0, 718.0)	(12.0, 913.0)	(13.0, 1064.0)	(14.0, 70075.0)	(15.0, 209951.0)	(16.0, 337840.0)	(17.0, 415266.0)	(18.0, 465165.0)	(19.0, 502000.0)	(20.0, 534936.0)	(21.0, 566464.0)	(22.0, 608038.0)	(23.0, 678099.0)	(24.0, 783571.0)	(25.0, 931578.0)	(26.0, 1129979.0)	(27.0, 1388306.0)	(28.0, 1728261.0)	(29.0, 2187156.0)	(30.0, 2815733.0)	(31.0, 3697334.0)	(32.0, 4844479.0)	(33.0, 5974365.0)	(34.0, 5539939.0)	(35.0, 1563833.0)
Hair_graft_5_7	(17.0, 5.0)	(18.0, 32.0)	(19.0, 187.0)	(20.0, 761.0)	(21.0, 2170.0)	(22.0, 5193.0)	(23.0, 11773.0)	(24.0, 24613.0)	(25.0, 49957.0)	(26.0, 100875.0)	(27.0, 193808.0)	(28.0, 348788.0)	(29.0, 588261.0)	(30.0, 947063.0)	(31.0, 1512190.0)	(32.0, 2540013.0)	(33.0, 4831402.0)	(34.0, 11224726.0)	(35.0, 13632980.0)															
Hair_graft_5_8	(2.0, 68.0)	(3.0, 116.0)	(4.0, 105.0)	(5.0, 178.0)	(6.0, 257.0)	(7.0, 434.0)	(8.0, 590.0)	(9.0, 783.0)	(10.0, 945.0)	(11.0, 1098.0)	(12.0, 1253.0)	(13.0, 1273.0)	(14.0, 76989.0)	(15.0, 242651.0)	(16.0, 400976.0)	(17.0, 535554.0)	(18.0, 656869.0)	(19.0, 782803.0)	(20.0, 901239.0)	(21.0, 1010998.0)	(22.0, 1131360.0)	(23.0, 1275565.0)	(24.0, 1453034.0)	(25.0, 1661188.0)	(26.0, 1888629.0)	(27.0, 2150977.0)	(28.0, 2430962.0)	(29.0, 2743143.0)	(30.0, 3073621.0)	(31.0, 3410540.0)	(32.0, 3657991.0)	(33.0, 3545048.0)	(34.0, 2468841.0)	(35.0, 508719.0)
