Sample	Unique Reads	Duplicate Reads
Hair_graft_4_1	39454285.0	14670099.0
Hair_graft_4_2	42429686.0	11694698.0
Hair_graft_4_3	39105081.0	14445713.0
Hair_graft_4_4	24357454.0	29193340.0
Hair_graft_4_5	30573023.0	8136490.0
Hair_graft_4_6	18267717.0	20441796.0
Hair_graft_4_7	29817382.0	7711040.0
Hair_graft_4_8	21925372.0	15603050.0
Hair_graft_5_1	16338956.0	35808332.0
Hair_graft_5_2	39447421.0	12699867.0
Hair_graft_5_3	16403763.0	35123982.0
Hair_graft_5_4	20931090.0	30596655.0
Hair_graft_5_5	14533906.0	22443141.0
Hair_graft_5_6	15362185.0	21614862.0
Hair_graft_5_7	14486305.0	21528492.0
Hair_graft_5_8	19068272.0	16946525.0
