Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Hair_graft_4_1	(1.0, 52.67722187368564)	(2.0, 30.035107308019445)	(3.0, 12.092656064871104)	(4.0, 3.6422846501949198)	(5.0, 0.9976450413770259)	(6.0, 0.2569187299420739)	(7.0, 0.05524859004649419)	(8.0, 0.012065417083351557)	(9.0, 0.01509575403884421)	('>10', 0.10515607650092819)	('>50', 0.031825529023551985)	('>100', 0.041512358207190736)	('>500', 0.007432720232067659)	('>1k', 0.029829886777365054)	('>5k', 0.0)	('>10k+', 0.0)
Hair_graft_4_2	(1.0, 75.56845206415177)	(2.0, 2.8731301574467207)	(3.0, 1.5436039729581872)	(4.0, 0.9302526986204646)	(5.0, 0.715603698722172)	(6.0, 0.5904364294083078)	(7.0, 0.48492016503857904)	(8.0, 0.38963117872778474)	(9.0, 0.29985440248645734)	('>10', 3.8292543671493657)	('>50', 1.3225131812783075)	('>100', 4.096983824803145)	('>500', 2.520212394337729)	('>1k', 4.1204064539611)	('>5k', 0.34868387608158746)	('>10k+', 0.36606113482846203)
Hair_graft_4_3	(1.0, 52.87438108349583)	(2.0, 30.032344434895524)	(3.0, 11.875903973359343)	(4.0, 3.6872190294546914)	(5.0, 0.9655319793452481)	(6.0, 0.2458745559733141)	(7.0, 0.06127514398192527)	(8.0, 0.019103589607983782)	(9.0, 0.01509591298289779)	('>10', 0.1030059166267198)	('>50', 0.041674548786718765)	('>100', 0.032489398592797925)	('>500', 0.009245162910815192)	('>1k', 0.025422202290505007)	('>5k', 0.01143306769561808)	('>10k+', 0.0)
Hair_graft_4_4	(1.0, 39.55986048949139)	(2.0, 5.458081153942949)	(3.0, 3.1055489999525268)	(4.0, 2.0889604628866394)	(5.0, 1.5475824515915493)	(6.0, 1.3329868327541323)	(7.0, 1.1004353529036626)	(8.0, 0.9434235897665714)	(9.0, 0.8368243140009015)	('>10', 11.471328332573576)	('>50', 4.560489085180143)	('>100', 13.547998065938044)	('>500', 6.442652829819721)	('>1k', 7.200088189191469)	('>5k', 0.42804485605720316)	('>10k+', 0.3756949939496501)
Hair_graft_4_5	(1.0, 62.15906138999193)	(2.0, 27.067154611027266)	(3.0, 8.115072748014725)	(4.0, 1.91532980000624)	(5.0, 0.395612309092694)	(6.0, 0.07540462218314181)	(7.0, 0.02818756901395088)	(8.0, 0.008064031582278273)	(9.0, 0.010093101257179821)	('>10', 0.11341963627273852)	('>50', 0.0348566278886985)	('>100', 0.038078099954855074)	('>500', 0.010003847075104107)	('>1k', 0.029661606639041983)	('>5k', 0.0)	('>10k+', 0.0)
Hair_graft_4_6	(1.0, 41.54716940962474)	(2.0, 5.336475322483009)	(3.0, 2.949466061140709)	(4.0, 1.9893631839218398)	(5.0, 1.4813934664713024)	(6.0, 1.2307340171959562)	(7.0, 0.9257440815312816)	(8.0, 0.8505406430549506)	(9.0, 0.8168856499548336)	('>10', 10.198021268502453)	('>50', 4.138505246222408)	('>100', 13.331658689674006)	('>500', 6.874557360816063)	('>1k', 7.566225609767982)	('>5k', 0.2985229638093685)	('>10k+', 0.464737025828991)
Hair_graft_4_7	(1.0, 62.91939986857228)	(2.0, 26.74583562932893)	(3.0, 7.853220056939511)	(4.0, 1.7901763626744633)	(5.0, 0.36353580646959505)	(6.0, 0.060335183439990725)	(7.0, 0.01812476550831797)	(8.0, 0.015124164580214325)	(9.0, 0.006057750331891836)	('>10', 0.11083397799742965)	('>50', 0.046202769844022544)	('>100', 0.032575109922816536)	('>500', 0.006286122957098789)	('>1k', 0.03229243143346439)	('>5k', 0.0)	('>10k+', 0.0)
Hair_graft_4_8	(1.0, 53.1463227109516)	(2.0, 5.081584572664678)	(3.0, 2.759768507777658)	(4.0, 1.827850934112793)	(5.0, 1.463007563207094)	(6.0, 1.1477238037006126)	(7.0, 0.930229483618702)	(8.0, 0.7928201126640307)	(9.0, 0.667719123844924)	('>10', 8.62354740072282)	('>50', 3.4541925429938)	('>100', 10.86578222059018)	('>500', 4.71635862861961)	('>1k', 4.0556417722217075)	('>5k', 0.12977865435197555)	('>10k+', 0.337671967958321)
Hair_graft_5_1	(1.0, 9.99051144465597)	(2.0, 10.313180658043866)	(3.0, 13.891953520336637)	(4.0, 15.248632447986314)	(5.0, 14.09584357995485)	(6.0, 11.865152563541676)	(7.0, 8.819848945461207)	(8.0, 5.990193128554341)	(9.0, 3.8103408321295875)	('>10', 5.821663032841504)	('>50', 0.039510739905665664)	('>100', 0.07044902170411266)	('>500', 0.006985713817215485)	('>1k', 0.02542930320288849)	('>5k', 0.010305067864185587)	('>10k+', 0.0)
Hair_graft_5_2	(1.0, 72.80535193669127)	(2.0, 2.9174712988944256)	(3.0, 1.4850771803316063)	(4.0, 0.9116798380545102)	(5.0, 0.7509443072938867)	(6.0, 0.5612256470086553)	(7.0, 0.4766367649091567)	(8.0, 0.377982610093121)	(9.0, 0.34126415890932726)	('>10', 3.96321278769482)	('>50', 1.366307885655738)	('>100', 3.964168801589933)	('>500', 2.8247767329735955)	('>1k', 6.117927219759603)	('>5k', 0.7190124504900972)	('>10k+', 0.4169603796507024)
