Sample	salmon-num_mapped	salmon-library_types	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Hair_graft_4_1			27.104418748604687	48.0	26.0	26	0.0	54.124384
Hair_graft_4_2			21.6070800310424	48.0	58.0	58	9.090909090909092	54.124384
Hair_graft_4_3			26.9757223120901	48.0	26.0	26	0.0	53.550793999999996
Hair_graft_4_4			54.515234339953565	48.0	58.0	58	18.181818181818183	53.550793999999996
Hair_graft_4_5			21.019357229537533	48.0	26.0	26	0.0	38.709513
Hair_graft_4_6			52.80819915038194	48.0	58.0	58	18.181818181818183	38.709513
Hair_graft_4_7			20.54720176334382	48.0	26.0	26	0.0	37.528422
Hair_graft_4_8			41.57662177793977	48.0	58.0	58	18.181818181818183	37.528422
Hair_graft_5_1			68.66767928763687	47.0	26.0	26	9.090909090909092	52.147287999999996
Hair_graft_5_2			24.35384167459067	48.0	58.0	58	9.090909090909092	52.147287999999996
Hair_graft_5_3			68.16518442773993	47.0	26.0	26	9.090909090909092	51.527744999999996
Hair_graft_5_4			59.37899278898689	48.0	58.0	58	18.181818181818183	51.527744999999996
Hair_graft_5_5			60.69479056337856	47.0	26.0	26	9.090909090909092	36.977047
Hair_graft_5_6			58.4548105548803	49.0	58.0	58	18.181818181818183	36.977047
Hair_graft_5_7			59.77679817301874	47.0	26.0	26	9.090909090909092	36.014797
Hair_graft_5_8			47.05434033722074	49.0	58.0	58	18.181818181818183	36.014797
af_map	131.116727	IU						
